Message,Summary_T5_1,Summary_T5_2,Summary_Bart
Got rarely any sleep. Hotel room was freezing lol and they give you nothing but sheets lol. Mess with the temp just a little than its hot,Hotel room was freezing lol and they give you nothing but sheets lol. Got rarely any sleep. Hotel room was freezing lol and they give you nothing but sheets lol.,hotel room freezing gave you sheets lol,"Got rarely any sleep. Hotel room was freezing lol and they give you nothing but sheets lol. Mess with the temp just a little than its hot |Got rarelyAny sleep.Got rarely Any sleep. got rarely any talk. Hotel rooms was freezinglol and they gave you nothingbut sheets lol... Mess withthe temp just-m
-gallery-hot"
"Hello i need to merge my accounts. We have no idea why there is two but there is as im missing a stay from /14/20- /21/20 I have gotten the information from the front desk, for the other account. The address its under is  south park ave apt B3 TITUSVILLE,FL  l. Phone nunber- -505-0503, no email on file. Showing up under a chouce priviledge acct- DXS0503102. my ORIGINAL  acct is DMS8986. Phonenumber: -289-8986 address:  clyde lane titusville fl  email:  

Confirmation number for missing stay is: .

Thank you! Thank you just want to male sure i am not missing any other stays or points correct?","We have no idea why there is two but there is as im missing a stay from /14/20- /21/20 I have gotten the information from the front desk, for the other account.",need to merge two accounts iââm missing a stay,"Hello i need to merge my accounts. We have no idea why there is two but there is as im missing a stay from /14/20- /21/20 I have gotten the information from the front desk, for the other account. The address its under is  south park ave apt B3 TITUSVILLE,FL  l. Phone nunber- -505-0503, no email on file. Showing up under a chouce priviledge ac"
I need folio summary of a reservation that I canceled. It is still showing on my credit card bill. The stay was supposed to be for last night into today (June -27) at Comfort Suites Fredericksburg North. The confirmation number for that stay was  and the cancelation number is . I canceled this reservation on June st way before the deadline of June .,I need folio summary of a reservation that I canceled. It is still showing on my credit card bill.,need folio summary canceled stay shows credit card bill,I need folio summary of a reservation that I canceled. It is still showing on my credit card bill. The stay was supposed to be for last night into today (June -27) at Comfort Suites Fredericksburg North. The confirmation number for that stay was  and the cancelation number is. I canceled this reservation on June st way before the deadline of June.
"Please tell me how to make a complaint on one of your hotels; my wife and have stayed in quite a few over the last  years as we traveled to see our children, but this last event will probably be our last with Econolodge Econolodge Lodge, Lookout Mountain, TN; Reservation number  for Friday /26. When we arrived we were greeted by the attendant/ mgr and given a room. WE had requested ground floor(we are senior adults) of course he said none available; we had made our reservation over a week earlier. Made our way to the rd floor couldn't get in our room,  get in our room, had to go back down stairs to get him to give us another key, he even went up to help. Got in our room, very musty smelling, TV wouldn't work, except manually; went back down stairs because he wouldn't answer the phone. I told him we were not happy and concerned about having to constantly come find him, he advised he was tired of me complaining, very rude and disrespectful the whole time, finally got him to issue a refund and we went to another hotel closer  to Chattanooga. This will probably be our last stay with Choice Hotels if this disrespect is what we have to deal with. Rick McDaniel",Rick McDaniel's wife and children have stayed at Choice Hotels in the last few years. He says this will probably be his last stay with Choice Hotels if this disrespect is what we have to deal with.,please tell us last event weââll stay hotel,"Please tell me how to make a complaint on one of your hotels; my wife and have stayed in quite a few over the last  years as we traveled to see our children, but this last event will probably be our last with Econolodge EconOLodge Lodge, Lookout Mountain, TN; Reservation number  for Friday /26. When we arrived we were greeted by the attendant/ mgr and given a room. WE had requested ground floor(we are senior"
" I've never felt more scared to stay in a hotel.  Not only was the housekeeper still cleaning the room at pm when my check in time was at  there was a man smoking weed on the balcony.  I told the manager I didn't feel safe.  She said because I used the room As a woman by herself this is not a safe hotel.  My husband told me to leave and get another hote.l   in Thomson Georgia is disgusting and scary.  Don't stay here!  your econo lodge in Thomson Georgia is disgusting and scary.  I felt so unsafe that I didn't care about my refund.   The hotel is run down and honestly as soon as I saw it I knew I couldn't stay there.  The pictures online made it look nice but that was a clear deception.  The housekeeper looked worn out and possibly on drugs.  I brought my dogs upstairs so I could go down and get my stuff.  Once I was back in the room and for to look around it was just disgusting.  The mini fridge had dents and paint on it.  The bathroom tile in the corner had black stuff that looked disgusting.  I was grossed out.  I decided to leave and on the hallway there was a man smoking weed and he looked scary and I felt very unsafe.  The whole hotel looks dangerous and like it is used for drug dealing and prostitutes.  I told the clerk I was scared to stay there and she said since I had used the room I couldn't have a refund.  I didn't stay in the room more than  minutes.  This hotel should be inspected and someone should come in and do an overhaul. I care more about my safety than any amount of money.  I guess you get what you pay for.  But as a tip I would have someone higher up come and do a walk through of this place because there is no way anyone of you would stay at this dump. I greatly appreciate that.  I know that every state or city has areas that are more prevalent to crime and I learned after the fact that Thomson Georgia has one of the highest crime rates per capita in America.  It's sad to say that most of the hotels in that area will have guest feeling very unsafe.  However I know that when I go back to visit my friend I will stay in Augusta.  I appreciate the points for a stay at another one of your hotels and I'm sure I will be able to use it in the future.  I want to let you know that I am the wife of a police officer and he has taught me to be very aware of my surroundings.  Had we looked up the area he never would have let me stay in Thomson.  I am not currently a member but my phone number is -478-0041 email  and my address  village Creek Lane apt.  
Mt. Pleasant, SC 

Again I appreciate your quick response and I hope that upper management and the owner can work together to improve the quality of the Econo Lodge in Thomson Georgia. Yes Is that my new account name EAS0041? Or do I set up a whole new account and it will just recognize my name? I put in that account name and it was not recognized. I have not looked can you send a new link",The housekeeper was still cleaning the room at midnight when my check in time was at there was a man smoking weed on the balcony. My husband told me to leave and get another hote.l in Thomson Georgia is disgusting and scary. As a tip I would have someone higher up come and do a walk through of this place because there is no way anyone of you would stay at this dump.,econo lodge in Thomson Georgia disgusting and scary guest,I've never felt more scared to stay in a hotel.  Not only was the housekeeper still cleaning the room at pm when my check in time was at  there was a man smoking weed on the balcony.  I told the manager I didn't feel safe.  She said because I used the room As a woman by herself this is not a safe hotel. M My husband told me to leave and get another hote.l   in Thomson Georgia is disgusting and scary
I have yet to receive my refund it has been  business days. Am I still receiving it? ,I have yet to receive my refund it has been business days.,am still receiving refund business days,"I have yet to receive my refund it has been  business days. Am I still receiving it? 
-gallery-m
-c| 
--am I have yet: receivemy refund it was business days.Am I have Yet to receiveMy refund it will be Business days. am I still getting it? M"
What is the hotel code for the Quality Inn and Suites Norwalk Sandusky Sorry Comfort Inn Norwalk I am staying there and booked through Traveling Teams. It doesnt find it when I try to add it to my Choice account. Can it not be added since I booked through them.,The Quality Inn and Suites Norwalk Sandusky is booked through Traveling Teams. Can it not be added since I booked through them?,whats hotel code Norwalk hotel,"What is the hotel code for the Quality Inn and Suites Norwalk Sandusky Sorry Comfort Inn Norwalk I am staying there and booked through Traveling Teams. It doesnt find it when I try to add it to my Choice account. Can it not be added since I booked through them.What isThe hotel codeFor the Quality Network and Suews Norwalk Sandersusky Sorry Com Inn Nwalk I'm staying there, booked through traveling Teams' 
"
"I just wanted to remind you that the manager of this hotel has refused to return my calls, Expedia's calls, your emails and the Better Business Bureau's email. Clearly your company does not care about the damage this franchise is doing to your brand's reputation. I have contacted the hotel, you have contacted the hotel, the better business bureau, Expedia has contacted the hotel. Expedia wants to refund but can't because of the hotel. I can't dispute the charges because they were made. If the hotel is going to say no they could at least return a phone call otherwise it's bad business and cowardly. Yes it does reflect on Choice Hotels because they cary your name and despite the manager point blank ignoring you, the customer, Expedia and the better business bureau there are zero reprecutions to the hotel. For the th time THE THIRD PARTY WAS WILLING TO REFUND THE HOTEL WAS NOT. I don't know if Choice Hotels is just dense or doesn't understand English. This is an issue with your manager who holds a franchise license from you hotel. He refuses to answer his email. Use the emergency number since he won't answer emails. Let him know he is in violation of his franchise contract (I am SURE response sing to parent company emails is in there). DO SOMETHING OTHER THAN THE EXCUSES. ,000 points doesn't pay my bills or get groceries. If he is so inhuman that he cannot have compassion during this time I DESERVE to hear it from him.","Choice Hotels has refused to refund my calls, Expedia's calls, your emails and the Better Business Bureau's email. If the hotel is going to say no they could at least return a phone call otherwise it's bad business and cowardly. For the th time THE THIRD PARTY WAS WILLING TO REFUND THE HOTEL WAS NOT.",hotel manager refuses answer calls emails bbb,"I just wanted to remind you that the manager of this hotel has refused to return my calls, Expedia's calls, your emails and the Better Business Bureau's email. Clearly your company does not care about the damage this franchise is doing to your brand's reputation. I have contacted the hotel, you have contactedThe hotel, the better business bureau, Expacea has contacted the temple. Expedia wants to refund but can't because of the hotel. I can't dispute the charges because"
"Bessemer/Birmingham woodsprings is horrible. Roaches crawling around,dirty sheets,dirty bathrooms and the general manager is rude! We stayed a week and then paid for another week and then not even half an hour later she comes to our room being rude as crap and kicked us out because I worked there  months before and quit. (Was not fired) (she knew I was there before we paid for another week) she refused to give us any money back even tho we had given her every bit of money we had to our name.    I have tried to contact corporate about the issue but never an answer. Dont stay here unless you wanna smell marijuana smoke all day and be talked down to by racist condescending front desk employees.  No Im sorry.  Facebook did not tell me that you had replied to my comment. Here is a picture of our first and second receipt. The confirmation number is .    I wouldnt be so upset with her telling me I couldnt stay if she would have done it before we paid for another week and if she wasnt so rude. She threatened to call the cops if I wasnt gone in  minutes and that wasnt even enough time to pack and she also accused me of defacing her property which never happened.  Thank you for taking the time to reply. Thank you for that.  Is there any possibility of getting a partial refund?  She didnt even give us our deposit back. Yes for the week we didnt stay or even just a partial refund for it.    Yes we paid for the whole week and then she came maybe  minutes later and said we couldnt stay. Thank you.  I really appreciate it. Thats ok. I figured she wouldnt. Thats what she likes to do. Wait until a person pays and then kick them out so she can make more money. Thanks for your time","Bessemer/Birmingham Woodsprings is horrible. Roaches crawling around, dirty sheets,dirty bathrooms and the general manager is rude! We stayed a week and then paid for another week and then not even half an hour later she comes to our room being rude as crap and kicked us out. She threatened to call the cops if I wasn't gone in minutes and that wasn't enough time to pack and she also accused me of defacing her property which never happened.",fb staffer tells us smoking marijuana gets kicked out,"Bessemer/Birmingham woodsprings is horrible. Roaches crawling around,dirty sheets,dirty bathrooms and the general manager is rude! We stayed a week and then paid for another week and than not even half an hour later she comes to our room being rude as crap and kicked us out because I worked there  months before and quit. (Was not fired) (she knew I was there before we paid for other week) she refused to give us any money back even"
"I signed my husband up for Choice Hotels to save money on a room I had already booked and then ended up double booking a room for the same night.  I called Choice Hotels immediately to let them know what I had done and they cancelled the booking and rebooked the reservation for one room, one night. I ended up with not one, but three charges on my checking account!  Called Choice Hotels reservations and they assured me the charges would fall off within -10 business days.  They did not.  Called again  weeks later, same line of bull.  Charges will fall off within -10 business days.  Now, this has been three weeks with two extra charges on my account of $69.60. To say I am dissapointed and angry would be an understatement. After this is resolved, I will cancel my subscription with Choice Hotels for not taking care of business. Liz, My husband James Estes stayed at Econo Lodge in Williams CA on June th. The same day I signed him up. I do not have the confirmation number but you can see on James Estes's profile JAE7427 where he stayed. I now have a case # whereas Customer Service Dorie did not give me one two weeks ago. Case #9885767.    Black Ranch Road Burney CA . (530) -7427. Under James Estes Thank you for jumping on this quickly Liz.  I hope to see this resolved within the -7 days as promised.  When it does, i will come back and write a better rating.","Liz, My husband James Estes stayed at Econo Lodge in Williams CA on June th. The same day I signed him up for Choice Hotels to save money on a room she had already booked. She called Choice Hotels immediately to let them know what I had done and they cancelled the booking and rebooked the reservation for one room, one night. Now, this has been three weeks with two extra charges on my account of $69.60.",man stayed us 2 weeks cancels booking 3 days,"I signed my husband up for Choice Hotels to save money on a room I had already booked and then ended up double booking a room for the same night.  I called Choice HotELS immediately to let them know what I had done and they cancelled the booking and rebooked the reservation for one room, one night. I ended up with not one, but three charges on my checking account!  Called Choice Hotews reservations and they assured me the charges would fall off within -"
"Hello. I made reservation on /25/20, Conf#  for hotel stay on /28 /30. My plan changed so I cancelled it on /26/20, cancellation# . I am reviewing my credit card charges and still see my card is being charged for $241.13. When will I get the money refunded? The issue has been fixed.",I am reviewing my credit card charges and still see my card is being charged for $241.13. When will I get the money refunded?,cancel booking 2/28 /30 credit card charged 241,"Hello. I made reservation on /25/20, Conf#  for hotel stay on /28 /30. My plan changed so I cancelled it on /26/20- cancellation#. I am reviewing my credit card charges and still see my card is being charged for $241.13. When will I get the money refunded? The issue has been fixed.Hello.I made reservation of a made trip on /24/20: Conf# C for hotelStay on"
"Michelle Wyatt yes.. I never even get my money back.. THE WORST!!!! WoodSpring Suites I already done that and I never got a respond from you.. some guy name Julio got everything  from me and that was it never hear from you guys again.  WoodSpring Suites Michelle Wyatt They ask you for all information  on a private message  to look like they are really going to fix it on social media but once you send it private message  they don't  even look at it. I screenshot  the message  so you can see it but I can posted them.. it is a waste of time trying for them to do what's right! Good luck WoodSpring Suites  Michelle Wyatt I send you a private  message  so you can see how maybe the blocked me so they didn't  get the information. They  sure don't care.  WoodSpring Suites how I  can send it if you guys blocked me  Thank you for the fast respond and yes indeed that's the address. As you can imagine Mr. Julio I'm a single mom and the safety for my family and myself is very important. At the time we arrived it was :30 P.M. I was very tired since I drove  hours from West Palm Beach to South Carolina. The place looked dirty from the minute we walked in but my kids were hungry and very tired and since I didn't know the area so I had no choice but to stay. I  was told about your non smoking policies yet the whole place smell like cigarettes and more. I don't smoke and the smell of cigarettes was unbearable, elevator was filthy falling apart, and the nasty mop behind the bathroom door that when I tried to remove it a roach came crawled out. I cried as you can imagine but we need it to get some rest. Then about :27a.m as I mentioned the incident with the rooms next to me about the guy beating his girlfriend up and she was crying and screaming for help let me tell you that one knows how terrifying and horrible experience that was for us and believe me we couldn't sleep the night. I also forgot to mention that there was three other single moms at the hotel from my son's team. After the incident I got in touch with them as we all had different room and  they were terrified as I was.  and we all felt very unsafe. Mr. I'm going to send you my involvement with the  call and some pictures of how this building is in a bad shape. In the morning all the moms met up by the lobby at :30a.m trying to talk to anyone but it was unsuccessful since front desk was closed gate it down until pm we need it to bring our kids to the Ripken fields park for open ceremony so therefore we couldn't wait. During the time we dropped our kids and desperately trying to get to a different place for our kids to feel safe and able to have a better baseball/vacation experience. We all able to find something better but it wasn't until  p.m. so when we went back to the woodspring to talk to the manager Angelica Houston but she was very unpleasant at first as I tried to explain the reason why we needed  to leave then she told me very rudely that she couldn't control their guesses behavior but since we wanted to leave and it was after pm she was going to charge for two nights at a higher rate since we weren't staying the whole week. I thought this was very unfair. We missed our kids opening ceremony and it wasn't our fault that you guys weren't able to fulfill our expectations so Mrs. Houston became loud and told us that she was going to charge us  per night and she was going to refund the rest b/c she didn't want to deal with this anymore.. That's was very poor customer service and bad management. I will send you a copy of my reservation Yined Ramos /15-6/22  room number  That's exactly what happened the last time and nothing got on my behalf but thank you for trying OK great! Thank you again! Blessings to you No it was never resolved.. But thank you No they didnt",WoodSpring Suites Michelle Wyatt is a single mom who lives in South Carolina. She says the hotel blocked her so they didn't even look at it. The whole place smelled like cigarettes and filthy falling apart.,youll never get money back woodSpring suites,Michelle Wyatt yes.. I never even get my money back.. THE WORST!!!! WoodSpring Suites I already done that and I never got a respond from you.. some guy name Julio got everything  from me and that was it never hear from you guys again.  WoodSpring Seites Michelle Wyatt They ask you for all information  on a private message  to look like they are really going to fix it on social media but once you send it private message of they don't 
