Message,Summary_T5_1,Summary_T5_2,Summary_Bart
"Hi, I have purchased a hand blender last year in June, it is still under warranty. The machine has suddenly stopped working and the service centre is closed. Can you please help in getting it repaired/ replaced? I am from Mumbai India. The machine is not turning on only. Will share the model details in separate message     Please go ahead and raise my request  Sky Flama A Dosti Flamingos TJ Road Parel Sewree Mumbai  Ok sure thanks Yes pls, it is causing lot of trouble without the appliances. As this is in warranty, as a special case can you not replace it?",The machine has suddenly stopped working and the service centre is closed. Can you please help in getting it repaired/ replaced?,afi hand blender still under warranty says service centre closed,"Hi, I have purchased a hand blender last year in June, it is still under warranty. The machine has suddenly stopped working and the service centre is closed. Can you please help in getting it repaired/ replaced? I am from Mumbai India. The machines is not turning on only. Will share the model details in separate message   I Please go ahead and raise my request  Sky Flama A Dosti Flamingos TJ Road Parel Sewree Mumbai  Ok sure thanks Yes pls, it's causing lot of trouble without the appliances. As this is in warranty, as a special case can you not replace it?"
Hi my nem is Helen I have black skin I pay hai removal I tray for  month is not work for me is not work dont waste your money even they dont  refunds me my money  pls pls dont waste your money   nan   Is this one nan nan Boots uk leeds If you want me more details you can call me any time nan I did everything Is not showing light in my chins Can you call me pls Ok HELEN Negussie   wortley towers Ls121jh Leeds I dont have PayPal Better to send me Cheque by my address What if I send you my account number I am going to bed soon Can we continue tomorrow pls Thanks Ok cheque Thanks Good morning thanks I will Thanks for your help Hi I dont received return label But I dont received   wortley towers Ls12 jh Leeds You send me by post office or email The label By email or post I dont understand The label you send me by post or email Sorry I dont  receive it  nan nan,Helen Negussie wortley towers Ls121jh Leeds I dont have PayPal Better to send me Cheque by my address What if I send you my account number I am going to bed soon Can we continue tomorrow pls Thanks Ok cheque Thanks Good Morning thanks I will Thanks for your help Hi my nem is Helen I have black skin I pay hai removal I tray for month is not work for me is not work nan Boots uk leeds If you want me more details you can call me any time nan I did everything I did everything Is not showing light in,cant call me any time nan nan boots uk,Hi my nem is Helen I have black skin I pay hai removal I tray for  month is not work for me is not use dont waste your money even they dont  refunds me my money  pls pls dont waste you money   nan   Is this one nan nan Boots uk leeds If you want me more details you can call me any time nan I did everything Is not showing light in my chins Can you call me pls Ok HELEN Negussie   wortley towers Ls121jh Leeds I dont have PayPal Better to send me Cheque by my address What if I send you my account number I am going to bed soon Can we continue tomorrow pls Thanks Ok cheque
"Hi! My name is Marius Ionut Pirvulescu and I am the director  of Eva fast trans ltd I am intrested to sell the oneblade products on Amazon I saw there that I needed approval. How can I get sales approval? Thank you! Hello! yes i am in uk I've been here for  years. My company is registered here..... Thank you! Hava a good day you to Amazon.co.uk 
 
Philips OneBlade Replacement Blade -  Pack - QP210/50
Philips OneBlade QP220/50 Replaceable Blade Good morning! What else happened? can you give me what i asked you for Hi! Did you have an answer?",I am interested to sell the oneblade products on Amazon. Can you give me what i asked you for Hi!,my name is Marius Pirvulescu iââm interested selling oneblade,"Hi! My name is Marius Ionut Pirvulescu and I am the director  of Eva fast trans ltd I am intrested to sell the oneblade products on Amazon I saw there that I needed approval. How can I get sales approval? Thank you! Hello! yes i am in uk I've been here for  years. My company is registered here..... Thank you; Hava a good day you to Amazon.co.uk 
 
Philips OneBlade Replacement Blade -  Pack - QP210/50
Philip OneBlade QP220/50 Replaceable Blade Good morning! What else happened? can you give me what i asked you for Hi! Did you have"
"Hello please does your website ship to Malta? The uk, de  and it websites only seem to ship to the same country. 

Also if i buy the Philips Lumea IPL machine from an ebay seller (new) will I still be covered with warranty please? Hello thank you! Since this is from ebay if I buy it today will it be effective from today please if something happens? Thank you good day! Hello! thank you for helping me I did get to buy the Philips Lumea Prestige from Amazon. Unfortunately can't download the app as it's saying my country is not supported :'( Do I still benefit from  day money back guarantee or extended warranty for example? I did register my product online. Thanks nan Yes sure:  Hi thank you for checking! I haven't been contacted yet I wish they were as efficient as you guys, unfortunately no :( thank you i appreciate Hello, I did receive a reply that the app will be available for Malta in August so I will wait. Thank you for checking","Hello please does your website ship to Malta? The uk, de and it websites only seem to ship to the same country. Also if I buy the Philips Lumea IPL machine from an ebay seller (new) will it be effective from today please if something happens?",website ship tom uk de and it ships tom via email,"Hello please does your website ship to Malta? The uk, de  and it websites only seem to ship to the same country. 

Also if i buy the Philips Lumea IPL machine from an ebay seller (new) will I still be covered with warranty please? Hello thank you! Since this is from ebay if I buy it today will it be effective from today please if something happens? Thank you good day! Hello! thank you for helping me I did get to buy the Philip Lumeia Prestige from Amazon. Unfortunately can't download the app as it's saying my country is not supported :'( Do I still benefit from  day money back guarantee or extended warranty for example? I"
"My Sonicare has started making vibrating pulses while charging.  It does it in two short pulses, stops a second and then does it again.  It does it the whole time its on the charger.  Any idea on what is causing this and how I can stop it? nan nan It worked!  Thanks for your help! Done! The tooth brush turned on in the middle of the night. While its on, no buttons work.  It shuts off after a few minutes.  It has done this -4 times in the past two days. USA.  I have had the set a couple years and no longer have the receipt. Thank you. Its still not working.  It is not used in the shower.","My Sonicare has started making vibrating pulses while charging. It does it in two short pulses, stops a second and then does it again. Any idea on what is causing this and how I can stop it?",Sonicare makes vibrating pulses charging,"My Sonicare has started making vibrating pulses while charging.  It does it in two short pulses, stops a second and then does it again. It does it the whole time its on the charger.  Any idea on what is causing this and how I can stop it? nan nan It worked!  Thanks for your help! Done! The tooth brush turned on in the middle of the night. While its on, no buttons work. it shuts off after a few minutes.  IT has done this -4 times in the past two days. USA.  I have had the set a couple years and no longer have the receipt. Thank you. Its still not working. - It is not used in the"
" case number  been over a week customer service keeps hanging up with no answers lets get this fixed thanks  case  case in review well over a week on a tv that went blank under warranty all info was sent lets get this resolved and fixed ... thank you   Case   and    Heres pic of screen obviously lines in screen in fades in and out I sent numerous pics last week of receipt and serial number and  corners of tv now all of a sudden they didnt over week later get full screen pic so Ill send her as well thank you   You say to be patient like Im a idiot , the reps weeks ago did same thing trouble shoot, then send pics , call them then they hang up , no no Ill email attorney general in New York State this week and every congressman or woman and senator and governor this is lies and ridiculous at this point",Customer service keeps hanging up with no answers lets get this fixed thanks case case in review well over a week on a tv that went blank under warranty all info was sent lets get this resolved and fixed... thank you Case and Heres pic of screen obviously lines in screen in fades in and out I sent numerous pics last week of receipt and serial number and corners of tv now all of a sudden they didnt over week later get full screen pic so Ill send her as well thank you Case and Heres pic of screen clearly lines in fades in and out I sent numerous pics,case number goes over a week customer keeps hanging up," case number  been over a week customer service keeps hanging up with no answers lets get this fixed thanks  case  case in review well over a weeks on a tv that went blank under warranty all info was sent lets get these resolved and fixed... thank you    Case   and   Heres pic of screen obviously lines in screen in fades in and out I sent numerous pics last week of receipt and serial number and  corners of tv now all of a sudden they didnt over week later get full screen pic so Ill send her as well thank you ""   You say to be patient like Im a idiot, the reps weeks ago did same thing trouble shoot, then send pics, call them then they hang up, no"
" Hi,

We need an oxygen concentrator immediately. It is very urgent and none if your dealers/distributors are answering their phones. Please have someone call me at .   The form is useless. I have been filling it out for  days in a row now. Need a Philips Everflo Oxygen Concentrator. Sent numerous emails  Philips  no avail. Philips dealers aren't answering their phones. Help with a contact?         I will email you my requirement asap.   I have visited this link earlier as well. None if these guys are answering their phones. Very unfortunate. They are giving Philips a bad name. Hope you realise this.  I have sent the email. Hello, I still have t heard from any of your dealers, distributors, representatives regarding my requirement of an Oxygen Concentrator. Please have them call . Well, I haven't had any calls in so many days. This is urgent. Also can you tell me if Everflo comes in  LPM models?",Need an oxygen concentrator immediately. It is very urgent and none if your dealers/distributors are answering their phones. Please have someone call me at.,need an oxygen concentrator urgent call me at," Hi,

We need an oxygen concentrator immediately. It is very urgent and none if your dealers/distributors are answering their phones. Please have someone call me at.   The form is useless. I have been filling it out for  days in a row now. Need a Philips Everflo Oxygen Concentrator. Sent numerous emails  Philips  no avail. Philips dealers aren't answering their phone. Help with a contact?   I  i   I will email you my requirement asap.   i have visited this link earlier as well. None if these guys are answering its phones. Very unfortunate. They are giving Philips a bad name. Hope you realise this.  I have"
"I too am having this problem.  It has started beeping twice whenever it is on the original charging base that it came with.  Doesnt do it when off the base, but that means I can charge it.  Can you help? You havent yet been able to help me because I didnt send you a photo of the malfunctioning soicare toothbrush.  Here it is: nan It beeps twice the entire time it is on the base and therefore I cant leave it there.  Cant charge it anymore Yes I tried that to no effect. Toronto, Ontario, Canada Email is  Will have to find proof of purchase I have not been able to find it.  Ive had the brush for about two years so finding a receipt is not so easy OK thank you! I am the only user and its never been used in the shower or dropped.","It has started beeping twice whenever it is on the charging base that it came with. Doesn't do it when off the base, but that means I can charge it.",cant charge toothbrush beeps twice sends me,"I too am having this problem.  It has started beeping twice whenever it is on the original charging base that it came with.  Doesnt do it when off the base, but that means I can charge it.  Can you help? You havent yet been able to help me because I didnt send you a photo of the malfunctioning soicare toothbrush.  Here it is: nan It beeps twice the entire time it is in the base and therefore I cant leave it there.  Cant charge it anymore Yes I tried that to no effect. Toronto, Ontario, Canada Email is  Will have to find proof of purchase I have not been able- find it. M Ive had the brush for about"
Hello. I am trying to get information about me return. I sent back my toothbrush in its original packaging unopened and the delivery tracking shows it was delivered on the  but I have not received any emails or confirmation that the item was received or a refund for my order. My  Order number is . My country is US. It says the package was received on the nd and the refund would be sent in  to  business days but it has been  days since the item was received and I still have not received a refund. No there us no email in my spam regarding my return My email address is  and my order number is . Thank you for your time and help. I ordered the toothbrush through the Facebook shop that I am messing through  now. I'm not sure what reference number you are talking about but her is a screan shot of the return info on the Facebook page. nan Yes that is what I am messaging through right now. I went to the Facebook shop and sent a message witch it sent through here.,I sent back my toothbrush in its original packaging unopened and the delivery tracking shows it was delivered on the but I have not received any emails or confirmation that the item was received or a refund for my order. My email address is and my order number is.,my email address is and my order number is,Hello. I am trying to get information about me return. I sent back my toothbrush in its original packaging unopened and the delivery tracking shows it was delivered on the  but I have not received any emails or confirmation that the item was received or a refund for my order. My  Order number is. My country is US. It says the package was received on the nd and the refund would be sent in  to  business days but it has been  days since the item were received and I still have not completed a refund. No there us no email in my spam regarding my return My email address is  and my order number is... Thank you for your time and help. I ordered the toothbrush through the Facebook
" just an fyi, I've tried for months to resubscribe to your monthly plan and have gotten this error every time. I've also contacted your support for months with no resolution. I really want to get the blades, but your site has made it impossible...  I have tried desktop and mobile, as well as tablet. However, I will try not using chrome and see if that helps. Thanks for the suggestion.  This is in a different browser...  United States. Thanks so much!  Yes. I've tried all of those things. May I ask why it's been an issue for so long? Not trying to be a Karen, but as you can see, I've tried a few times to get this fixed with no success or updates. Understood. Thanks for the update. Just got the same issue I was before. I just tried in on my phone and desktop. I don't have either in my address: Tried that, but it changed it back. Actually, was just able to get it to stick, but no luck... I was able to create a brand new account. And able to get things to seemingly work. Thank you.","I've tried for months to resubscribe to your monthly plan and have gotten this error every time. I really want to get the blades, but your site has made it impossible... I will try not using chrome and see if that helps.",havent tried resubscribe to your monthly plan yet," just an fyi, I've tried for months to resubscribe to your monthly plan and have gotten this error every time. I've also contacted your support for months with no resolution. I really want to get the blades, but your site has made it impossible...  I have tried desktop and mobile, as well as tablet. However, I will try not using chrome and see if that helps. Thanks for the suggestion.  This is in a different browser...  United States. Thanks so much!  Yes. I'd tried all of those things. May I ask why it's been an issue for so long? Not trying to be a Karen, but as you can see, Ive tried a few times to get"
"Hello we had bought a Philips advent baby monitor a year ago and never really used it. We just started using it and the picture is horrible. Is this still under warranty? How do I put a claim in? The picture quality is horrible nan nan SCD630H and canada Thank you Brightness on max lens is clean, comparing it to a camera that is over twice as cheap and off brand nan Video sent  is my email but I have no proof of purchase as this was a gift for our child I tried the things you asked and its blurry even at  feet away and there is nothing on the lens nan These models are sound only, no good for us  Wolverine Drive
Fort McMurray AB
T9H R5
 -304-0472 Thank you very much That address is Canadian as well I did get the email but I have not sent the item back yet For sure just been working haven't had a chance yet","The picture quality is horrible nan nan SCD630H and canada Thank you Brightness on max lens is clean, comparing it to a camera that is over twice as cheap and off brand nan Video sent is my email but I have no proof of purchase as this was a gift for our child. These models are sound only, no good for us Wolverine Drive Fort McMurray AB T9H R5 -304-0472",picture quality is horrible nan nan camera review,"Hello we had bought a Philips advent baby monitor a year ago and never really used it. We just started using it and the picture is horrible. Is this still under warranty? How do I put a claim in? The picture quality is horrible nan nan SCD630H and canada Thank you Brightness on max lens is clean, comparing it to a camera that is over twice as cheap and off brand nan Video sent  is my email but I have no proof of purchase as this was a gift for our child I tried the things you asked and its blurry even at  feet away and there is nothing on the lens nan These models are sound only, no good for us  Wolverine Drive
Fort McMurray AB
T9"
 hi I have a Philips Viva Collection HD4928/01 -Watt Induction Cooktop  which is not working properly.led screen is flickering and I'm  unable to control temprature all the buttons have also malfunctioned.please help Please find the attached invoice  The induction is not working properly Buttons have stopped working And led panel is also flickering Yes No mode is working Not able to increase or decrease the power Address- A  nd Floor Metropolitan Housing Cooperative Society Ltd Kolkata -700105 Mobile number-9686578012 Alternate number-7975460306 Ok Yes contacted Issue not resolved I have told to reschedule the engineer visit later As he estimated the bill to be around more than  even without knowing the actual issue. I will purchase a new induction in this price Yes I have denied for the services because the servicing charges are as high as a new induction price.,Philips Viva Collection HD4928/01 -Watt Induction Cooktop is not working properly Buttons have stopped working And led panel is also flickering Yes No mode is working Not able to increase or decrease the power Address- A nd Floor Metropolitan Housing Cooperative Society Ltd Kolkata -700105 Mobile number-9686578012 Alternate number-7975460306 Ok Yes contacted Issue not resolved I have told to reschedule the engineer visit later As he estimated the bill to be around more than even without knowing the actual issue,mhcs ai isnâât working properly led panel also fails work, hi I have a Philips Viva Collection HD4928/01 -Watt Induction Cooktop  which is not working properly.led screen is flickering and I'm  unable to control temprature all the buttons have also malfunctioned.please help Please find the attached invoice  The induction is not going properly Buttons have stopped working And led panel is also flickering Yes No mode is working Not able to increase or decrease the power Address- A  nd Floor Metropolitan Housing Cooperative Society Ltd Kolkata -700105 Mobile number-9686578012 Alternate number-7975460306 Ok Yes contacted Issue not resolved I have told to reschedule the engineer visit later As he estimated the bill to be around more than 
"Hello Need a small help for a product I am getting a promix  model black on deal Was sure if its speed is fine. I have video if u can help whether its OK or not Wasn't (typo) Please guide nan nan Getting product from KSA. Please don't refer me to KSA agent for God sake Pakistan I hope i will be helped timely  Will they call me now ? Waiting, can u send me a number please where I can contact Sure I will as soon as my query gets answered No one contacted me so far No one has contacted me so far via phone or sms or email Please read my conversation first so as to get an idea what I wanted Is it a template msg None helped me",Hello Hello I am getting a promix model black on deal Was sure if its speed is fine. I have video if u can help whether its OK or not Wasn't typo Please guide nan nan Getting product from KSA. Please don't refer me to KSA agent for God sake Pakistan I hope i will be helped timely Will they call me now?,need help nan nan referring me to KSA agent,"Hello Need a small help for a product I am getting a promix  model black on deal Was sure if its speed is fine. I have video if u can help whether its OK or not Wasn't (typo) Please guide nan nan Getting product from KSA. Please don't refer me to KSA agent for God sake Pakistan I hope i will be helped timely  Will they call me now? Waiting, can u send me a number please where I can contact Sure I will as soon as my query gets answered No one contacted me so far No one has contacted me but far via phone or sms or email Please read my conversation first so as to get an idea what I wanted Is it a template msg None helped"
