Message,CaseNumber,Summary
customer asked please advise if we havent received any letter what we should do. agent said hi there jul thank you for your message we are not quite sure what you mean could you elaborate on your situation perhaps well be here awaiting your reply. customer said hi i have an issue with a cpap machine brand new and i try to find some answers from you its about the heating plastic tank without water while we sleeping what is the impact on the health inhaling the plastic gas heated,3940449," customer has an issue with a new machine called a cpap machine. It's not safe to inhaling the plastic gas while sleeping. Customer needs some answers from Jul about the heating plastic tank without water while sleeping, but he hasn't received any letter yet. He will get back to Jul."
agent said hi there could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. agent said hello thank you for the response and for confirming your location please try us at. customer said hi im reaching out to get some help with my wifes respironics cpap machine that is part of the recall but is no longer under warranty please see my exchange with the main account on this matter thanks for your help. customer said my mailing address is pk koduri ravencrest ave bloomington in i can be reached at,3947544,. customer needs help with her wife's respironics cpap machine that is no longer under warranty. customer can be reached at pk koduri ravencrest ave bloomington in minutes and will send more specific information to the customer via private message.
customer said did change their cpap bipap dreamwear pillows the new ones i got this month dont match my nose shape and dont have as thick cushioning lacking the blue part entirely. customer said apparently they discontinued the gel pillows that fuckinng sucks omg. agent said hi there thanks for your message can you please send us a direct message and provide us with your country of residence then well connect you with our colleagues who can assist you further. customer said i live in the us i get my supplies though lincare paid by my insurance,3952945, customer doesn't like the gel pillows she got this month. Customer lives in the UK. Customer will send them a direct message about his residence and provide them with his country of residence so they can help him find a product that fits his nose shape and provide him with more information.
customer said i am still waiting for my replacement of my lifeline equipment it has been over daysprogram code unit. customer said my ph cell. agent said hi there delores thanks for reaching out were sorry to hear that youre still waiting for your device to be replaced wed like to see how we can help so could you please share your country of residence with us many thanks in advance hope to hear from you soon. customer said im in abilene texas usa. agent said thank you for letting us know delores we are going to forward your case to our product specialists who will be able to assist you further one of our colleagues will be with you in the same conversation shortly have a lovely day,3957892," customer is still waiting for a replacement of his lifeline equipment. He's from Abilene texas usa. His case will be forwarded to product specialists, who will help him with his device's replacement in the same conversation as with delores and one of her colleagues."
customer said will insurance cover this. agent asked hello mely and thanks for your interest we would gladly assist you could you please share your location in a private chat this way we can get into the specifics awaiting your reply. customer said philips respiratory wellness yes sending message right now. customer said palmdale california. customer said philips respiratory wellness waiting for a response,3960174,Philips respiratory wellness is waiting for a response from customer about their insurance policy covering Palmdale California. Customer will share his location in private chat with the agent. He will get back to customer with more details about it later. He is in the private chat now. 
customer said im interested in this product. agent asked hello james and thanks for your interest what kind of product do you mean try to include your location as well awaiting your reply. customer said im looking for a portable concentrator. customer said location nc. agent said thanks for sharing james we will forward your concern to our product team to assist you further they will be with you shortly,3960212, customer wants to buy a portable concentrator. James shares his location with the product team that will help him with his product development. James is interested in the product and asks for more information about it as he needs it now.  Customer will respond in a product development team.
customer said explain to me how i can sleep with my mask on from hours and the machine give me hours of therapy hours. agent said hi randy thank you for reaching out to us could you perhaps elaborate on that. customer said put the mask on around took it off around machine says hours of therapy this isnt new been goin on for a while. agent said thank you for elaborating we would like to have our product specialist team take a closer look into this could you let us know your country of residence awaiting your reply. customer said usa. customer asked checking in any more info needed,3968368, the machine gives customer a mask off around and hours of therapy hours. customer doesn't know how to sleep with the mask on for more than hours. The product specialist team will take a closer look into the issue. customer's country of residence is USA and he doesn't have any more info needed.
customer said not impressed with the replacement the lid is very cheap and it is hard to take apart if your partner is still sleeping i use the heated hose and mine didnt come with that and it no longer swivels had no notice that a new machine was coming and the filters are different i now have supplies i cant use and i will have to buy myself because insurance says i already bought and wont let me get more and i will need new filters for the redesign,3978248," the lid is cheap and hard to take apart when your partner is still sleeping. The customer is not impressed with the replacement. The filters are different and the replacement is not possible, so the customer will have to buy them herself as insurance won't let him get more."
customer asked is anyone available to chat. customer said my wife received a replacement dreamstation but it only goes up to a setting her setting is supposed to be called a few days ago and was told someone would contact her buy so far no response. agent said hi melvin thanks for reaching out to us weve asked our product team to look into this for you youll hear from them soon. customer said thanks. customer said thank you for your prompt resolution on my wifes device,3978455," customer's wife received a replacement dreamstation, but only goes up to a setting. The setting is called a few days ago. The product team will look into this for customer. He will let customer know about it soon. He is satisfied with customer's response to his wife's request."
customer said hi phillips none of your australian phone numbers are working i have had to rent a machine due to this recall and its sending us broke as we just bought the dream station last octoberhas there been any progress someone on a recall group said that you are giving refunds now i would like one asap please its faulty equipment and i dont want it please let me know how i go aout getting this refund i cannot call as your numbers arent working. customer asked is anyone available to chat. customer asked is anyone available to chat. customer asked is anyone available to chat,3983572,". customer wants to rent a machine from Philips, but none of their phone numbers are working, so he needs to chat with someone on the recall group to get one asap, as they just bought the dream station last October. The machine has a faulty equipment and customer needs it asap."
customer said i did register my dreamstation but a former neighbor called to say notification was just sent to my old address in another state my house had been torn down a new one built and ups envelope was left on stoop of an unfinished new house name robert neary old address lakeview ave tewksbury ma tracking number current address on recall registration paperwork is lost woods circle bonita springs fl. customer said dreamstation sn is humidifier chamber is. customer said please update database so new device or any future info is sent to florida not massachusetts thank you,3985636," a notification was sent to customer's old address in another state, because his house had been torn down and a new one built. Customer registered his dreamstation, but his former neighbor called to tell him to update database so it's sent to Florida instead of Massachusetts."
customer said my touch screen stopped working on my machine is there a way to hard reset it i dont have time to send it in for repair and wait for a new one to come i am going to a different state for business travel on tuesday. agent said hi there kelsey sorry to hear this and we like to see how we can help could you therefore please provide us with the country that youre currently based in hope to hear from you. customer said healthcare hi philips thanks for the reply i am based out of the usa i have the dreamstation,3992407," customer's touch screen stopped working on his machine. He needs a new one urgently as he is going on business travel on Tuesday. The customer is from the USA and is not able to send it in for a hard reset it until Tuesday, as he has to go to a different state."
customer said i got documents in the mail days ago telling me to register the two devices ive already registered online to see if they are part of the recall but the document says all dreamstation serial numbers also i have devices because the rx changed i dont need two devices what do i do with the one thats been unprescribed. agent said hi could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said responding to your request to my post received documentation in the mail though ive already registered both the bipap and the cpap my location is gretna la,3993464, customer got documents in the mail days ago telling him to register the two devices: the bipap and the cpap to check if they are part of the recall. The documents say all the dreamstation serial numbers are changed. customer has already registered online. His location is Gretna la.
customer said i recently got a replacement delivered without any correspondence that it was coming said to box up and send old one back i did now ive been using for weeks and cant get filters because theyre out of stock and dont know when theyll be in the whole thing has been and still is very frustrating. customer said i received my new dream station weeks ago and mailed old one back now i need filters and theyre apparently out of stock supposed to be changed every weeks and its already been longer than that and its dirty and gross i was told maybe by the end of the month that is unacceptable and you shouldnt have sent new ones out without having them in stock teresa smith,3998316,", but the filters are out of stock, so customer needs a new one. Customer has been using for weeks and can't get filters. Customer received a replacement weeks ago and mailed back her old one weeks ago, but she needs them back now. Customer needs them urgently."
customer said hi philips i registered for the cpap recall i moved and have called your recall number three times to get my address and phone updated can you put me in contact with someone that can actually update my contact information they also could not confirm if a replacement cpap had already been sent to my prior address i had called the recall before i moved and tried to update my address but apparently they did not change it,3998548, customer said she registered for thecpap recall. The number hasn't changed in three times since she moved and needs someone to update her contact details. It's not yet clear if a replacement copy has been sent to her at her old address. She had tried but couldn't update her address.
customer said hi i have a dreamstation which is part of the recall i registered my device back in june but have now moved how do i update my contact information on my registration. agent said hi there could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said sure i am in the us washington state my registration confirmation is,4000580, customer's device has changed and he needs more specific information about it. Customer registered her device back in June but has now moved. customer's registration confirmation confirms that she's in the us washington state her registration confirmation is She will confirm her location in private via private message.
customer said submerging the electric end of the heated tube is ok i always avoided getting that end in water due to the contact with the unit was concerned about water still being in there. agent said hi there thanks for reaching out to us could you share your country of residence so we can put you in touch with our dedicated team awaiting your reply. customer said usa. agent said thanks for your reply we will have our dedicated team follow up on your request and get back to you shortly,4007111, customer is going to submerge the electric end of the heated tube in water. The team will follow up on customer's request and will get back to her shortly. customer shares her residence with the team that works on her request to share more information about her residence so they can get in touch.
customer said your customer service number for hung up on me time this morning after going through the menu options of english and patient i am reaching out via tweeter because they dont have customer care email posted on the website instead of putting me in a queue for support or providing me with a message you just hang up i suspect this is a technical issues with your customer care line i am calling about my cpap recall because i cant register my device online because the serial number on the bottom of the device has faded cant be read please help or having some call me back at or email me at,4007272, the customer care line for hung up on customer service line this morning after going through the menu options of English and patient. Customer can't register her device online because the serial number on the bottom of the device can't be read. Customer needs help with customer care email and support.
customer said i hope they get this sorted for you asap its disgraceful customer service the issue was discovered in april weve already been waiting long enough for an outcome i dont want another philips machine ive lost all confidence in them and would prefer to get a different brand. customer said just found out ive been breathing in toxic fumes from my dream station this is after finding out about the recall where you discovered the issue in april i registered my machine in june havent heard a peep from philips since. agent said hi megan could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said i cant seem to send you a private message im in australia. agent said this should work,4008743, the issue with Philips machine was discovered in April. Customer has been breathing in toxic fumes from her dream station. She registered her machine in June and hasn't heard from Philips since. She doesn't want to get a new machine from them as she has lost all confidence in them. 
customer said i received my replacement machine but i still have filters and tanks for the dreamstation will phillips exchange them if so how do i do this. customer said i received my replacement cpap machine but i still have filters and tanks for the dreamstation will philips exchange them if so how do i do this. customer said no answer. customer said i dont know why you have this page when you dont respond to posts or messages,4013064," customer has received a replacement machine, but he still has filters and tanks for the dreamstation. Philips will exchange them with customer if he doesn't respond to any messages or messages from the page in terms of how to do it so he can get back to him."
customer said hello i have registered my recalled cpap machine but my address is now changing pls let me know how to change my address. customer said so that if any replacement is sent its sent at the new address. agent said hello tuli any status updates upon repair or replacement will be sent to you via the method of communication you chose either by email text or received by a phone call. customer asked how will i change my address,4014153," customer's PCap machine is changing to a new address. Any replacement will be sent to him via email or phone call if it is sent at the new address, so he can send him status updates upon repair or replacement updates via the method of communication he chose by email or by phone."
customer said dream station auto cpap dom hum serial number manufactured. customer asked what is the part number where can i find it. customer asked my machine also has another label marked dreamstation hum core pack dom sn manufactured please advise what will be the process. customer said as usual too much information but nothing useful at the end we as affected customers need useful action not repeated worthless talk,4016956, customer's machine has a part number and a label marked dream station hum core pack dom sn sn manufactured. Customer wants customer to explain to him how the process will be manufactured and provide him with useful action instead of talking about machine parts. He is not satisfied with this kind of information.
customer said ive sent several messages but ive been ghosted by your company now im suffering lung issues i would just like a simple refund of my money of my dream station and all the supplies that ive purchased for it you dont need to ask me the standard where i live in this that or the other check for plus is what i need for the cost in every supply ive spent on your cancer machines. customer said this is the sketchiest company ive ever dealt with,4018348, customer wants a refund of his money back for cancer machines he bought for his cancer machine. He sent several messages but was ghosted by the company. Customer thinks the company is the sketchiest company in the history and needs the money back from his company. He needs it now as he has lung issues.
customer said i received a dreamstation to replace the dreamstation i have supplies for the original dreamstation filters foam and fine particle as well as reservoirs two questions will philips exchange for current filters and reservoirs second i have two recalled units dreamstation and system one which does the received unit replace not only did this put my health at risk but is costing me more money,4020850,". customer has received a new dreamstation to replace the old one. Philips wants to exchange for the current dreamstation for philips exchange for changes to the current one, but Philips have two recalled units, one of which is a system that can be easily replaced."
customer said ive registered two machines that are part of the recall ive since moved to a new address and want to update that address with you how do i do that and when might i receive replacements. agent said hi brian philips plans to initiate the repair and replacement programs in the majority of its markets by the end of september with the intention to complete them within approximately months please refer to our website for more information. customer said wow months does that mean i might have to be without my cpap for up to months or use it with the multiple risks associated with your machines that is unacceptable. customer said can you please tell me how to update my address with you in case im one of the fortunate users that gets fixed sooner than later,4027034, customer has registered two machines that are part of the recall. He's since moved to a new address and needs to update his address with customer. The machines will be repaired and replaced within months and customer wants to know how to do it so he doesn't need a machine for months or longer.
customer asked philips sleep wellness what is a dme what about people who have a machine that is over years old will you still replace it or should we give up and start over with another company my husband and i registered back in june and we have no guidance. agent said hello jill we understand your concerns completely you have completed the vital step of registering your affected device any status updates upon repair or replacement will be sent to you via the method of communication you chose either by email text or received by a phone call philips is treating this matter with the highest possible seriousness you will be contacted as soon as a status update is available. customer said will you replace a cpap even if over years old will we have to have an order from a doctor,4028099," over years old, but Philips will have to have an order from a doctor to replace it if they want to change the machine. Jill and her husband registered back in June and she doesn't have any guidance on how to do it. The status updates regarding a malfunction will be sent to her via email."
customer said philips after receiving my machine back in july months later its doing the same issue im told you cant provide a new one but to yet again send the machine to get fixed for the same exact issue clearly the machine is a lemon but lets just send it back to get fixed you have the worst customer service a machine should not break with the same issue and its not even a year old i will never buy another product from your brand again i will also share my experience with others about this product definitely reporting this to the bbb,4029265, the same machine that Philips had received back in July months later. The machine is broken. Philips will send the machine back to get fixed. Customer is angry about the poor customer service and product quality. Customer will report Philips to the bbb about the quality of their machine.
customer said good afternoon i am normally a very patient person but with barely any sleep for the past months it is starting to get to me as i cant afford to buy a new cpap machine and i am happy with the style of the one i have i live east of dallas texas as i got this one when i had another insurance and the place do not take hmo i am in a bind of what to do how long a replacement filter is available etc. customer said philips sleep wellness message sent,4035812," customer is fed up with lack of sleep for the last months. He doesn't want to buy a new cpap machine as he can't afford a new one. He has a Philips sleep wellness message sent to him via the post. He lives east of Dallas, Texas."
customer asked is anyone available to chat. agent asked sure jon how may we be of assistance. customer said i cant find the model number on my dreamstation cpap. customer said and its on the recall. agent asked hi jon please verify that you are filling out the correct serial number of your product and not any attached humidifier the water reservoirtank when registering you can check how to find your serial number via this page if you are still experiencing issues after that please reach out to our dedicated support team via for personal help. customer asked so the serial number is the model number. customer said l,4046662," customer can't find the model number on his dreamstation cpap. It's on the recall. Customer will check his product number via page page. If he has problems with it, he will reach out to customer support team via if he has any problems with the water reservoir."
customer said i need one of theseive really been having trouble breathing more and morei have asthma and copdso ive heard medicare doesnt pay not sure about highmark i dont use the big bulky oneswill u send something to my dr for a script. agent said hello melody we understand your concerns completely philips is treating this matter with the highest possible seriousness and are dedicating significant time and resources to address this issue to assist you we would need further information to help in this regard what we need your location contact information email address and serial so we can follow up we will make sure we assist in the best way possible. customer said i live in reading pawhat serial,4047677,"Philips is working on Philips product for customer's asthma and copdso problem. Customer has problems breathing more and more. Customer lives in Reading Pawhat serial and needs help breathing more. Philips will follow up with customer's location, email address and serial so they can assist her."
customer said i have received my replacement cpap machine my husband has the same model that they sent me my ahi number is double what it was on the older model i had it for years and my number was never more than my husband is having the same problem i use it faithfully every night and my sleep apnea is well controlled i am concerned that this replacement model is not effectively treating our sleep apneawhat would cause this and is there something we can do to rectify this problem thank you patricia flynn,4049154, for years Patricia flynn's husband has a problem with sleep apneawhat. The replacement machine sent to Patricia fliesnn is not effective for treating their sleep apnea. Patricia fliesn has received a replacement machine from customer. Patricia flyn can help her husband rectify the problem.
customer said hi i received my replacement dream maker unit im having trouble getting the new unto to link to my app via bluetooth how do i remove the connection from my old unit and get the new unit to recognize it im logging in with my is and original password and its not looking do i need a new account thanks. agent said hi michael thank you for reaching out to us could you please share your country of residence wed like to look further into this for you. customer said usa new york,4055429," customer has a problems with his replacement dream maker unit and needs a new one to link to his app via bluetooth. Michael will help him to find a solution for his old unit. Michael's country of residence is New York, so he will share his residence with the customer."
customer said i bought my cpap machine from breathe well inc in st johns nl canada in february i stopped using the machine as soon as philips issued their recall i have waited patiently for several months now with mo action i am therefor requeting a refund of my purchase price i will naturally return the cpap machine i have requested a refund from breathe well but they have informed me there is nothing they can do thank you for your attention to this matter barry bridger,4061342," for months Philips issued their recall of their machine. The customer bought it from Breat Well in February, but he stopped using it in February. He asked for a refund of his purchase price, but the company says there is nothing to be done about it. Bryan bridger is interested in taking care of this."
customer said philips are you sending out refurbished units for your cpap recall can you guarantee that units was in a smoke free environment or an environment where mold was not an issue we will not take a refurb unit without a written guarantee of this due to an immunocompromised child with sensitivities. customer said philips are you sending out refurbished units for your cpap recall can you guarantee that units was in a smoke free environment or an environment where mold was not an issue we will not take a refurb unit without a written guarantee of this due to an immunocompromised child with sensitivities,4062905,Philips will send out refurbished units for customer's capsap recall. The customer needs a written guarantee that units were in a smoke-free environment and that they didn't have any mold in the environment where mold was not an issue. The issue lies within the parameters of an immunocompromised child with sensitivities.
customer said philips sleep wellness you didnt answer the question as usual about being notified when it is coming i live in a apt which i spend very little time at if my new cpap is just left outside my door with zero notification i can say i know it will be stolen ive had packages stolen before i called to give a alternate address but all the lady said was i will make note of it if she did who knows i havent received anything including my replacement which i desperately need because of the symptoms ive had for the past two years since starting my treatment god only knows the damage this cpap has done this entire recall ordeal is beyond frustrating. customer said janice roth i agree,4069963,Philips sleep wellness didn't answer customer about being notified about a new cap being delivered to her apartment without any notification. She needs a replacement urgently because of the symptoms she's had for the last years since starting her treatment. She lives in an apartment which she spends a lot of time at.
customer said my husband got his about a month ago but he cant get the filters that are supposed to be replaced weekly. customer said joleen hart my husbands supply company does not have the disposable filters available and neither does phillips he got his new machine over a months ago and cant change the disposable filter that should be changed weekly he bought some filters on ebay at an exorbitant price and they still havent come. customer said fred mclaine my husband had been doing that too but those old filters wont last forever,4072587,". customer's husband can't get the filters that are supposed to be replaced weekly, but they still don't come to him. Neither Joleen Hart nor Philips have the disposable filters available for his husband. He bought some filters on eBay for PLN on his new machine."
customer said this is ridiculous ive been registered for several months now in this process the only communication ive gotten is a acknowledgment that my machine is registered nothing else ive looked on the updates page site and nothing for months now i even called a few times and was told nothing customers deserve real time updates on whats happening here not stock responses the original recall said customers were supposed to get letters i never received if it was not for seeing a random post on fb i as well as most im sure would never have known about this issue,4073865," customer's machine is registered but he hasn't received any updates for months. Customers need real time updates on what's going here. Customers were supposed to get letters, but they didn't receive any. Customers would never have known about the issue without seeing a random post on facebook."
customer said i was surprised to see this post a couple of days after i contacted philips to advise them that my machine provider had provided a trilogy bacterial filter to be used with my dream machine totally contrary to philips own notification that it should not be when i contacted the provider about their actiod it being contrary to philips the providers response was that the philips tech gave them the filters for the trilogy machines and extras to pass out for the philips ones and they have to do what the tech said i did all this because i didnt want other philips users using the trilogy filters on the philips machines and having the same false sense of safety that i had assumed,4074153,Philips machine provider has provided a trilogy bacterial filter for Philips machine. Philips tech gave the providers the filters for the trilogy machines and extras for the philips machines to pass out for the Philips customer. The provider didn't want other Philips users to use them.
customer said my return label has expired pleases end a new one connie r old tracking thank you ph. agent said hi there connie thanks for reaching out to us could you kindly confirm your country of residence and tell us more about your return request we can then look into this for you thanks in advance we will await your reply. customer said idaho usa returning my cpap that was recalled my label expired i waited too long to use it respironics,4075226," customer's return label has expired, so he needs a new one. Connie's customer wants Idaho to return her a product she forgot about. She waited too long to use it, so she didn't manage to do it in the end. Idaho will take care of it."
customer said these weigh down the lower jaw making baby have to suck harder to keep in mouth we are seeing a lot of upper teeth protrusion caused by these little guys your friendly pediatric dental professional. agent said hi lindsay we apologized for the delayed response were also sorry that this has caused upper teeth protrusion could you please elaborate on the issue you are experiencing please feel free to send us a private message and we will do our best to help you further hope to speak to you soon,4075377,", but the agent has a problem with an upper teeth protrusion in the lower jaw making baby have to suck harder to keep it in mouth. Lindsey will send them a private message about the issue and they will do their best to help her with some more private messages."
customer asked what determines if we get a new machine or a refurbished one. agent said hi dean could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said i was told to pm my name is dean niederkohr i have already registered my dreamstation cpap months ago my question yesterday was what determines if i get a new cpap or a refurbished cpap or do i just get the parts to fix my own cpap i dont smoke and would find it unacceptable to get something a smoker had used,4076153, the customer wants to get a new machine or a refurbished one. Dean Niederkohr has registered his dreamstation cpap months ago. Dean doesn't smoke so it would be unacceptable to get something a smoker had been used. Dean will confirm his location in private and provide more specific information.
customer said i own a dreamstation auto cpap machine and would like to know what battery options are available to me so that i can use the machine without access to mains power. agent said hi thanks for your message one of our colleagues will be right with you but if you think your product is faulty you can also try our new diy repairexchange feature on our website philipstoapprande in any case thanks for your patience in the meantime. agent said hi its been hours since your last message we havent forgotten about you but to help you further it would be great if you could send us another message well then make sure to back to you here as soon as we can hope to hear from you again soon,4077069," customer needs a machine without access to mains power. The customer owns a dreamstation auto cpsap machine. If the machine is faulty, he can take advantage of the new diy repairexchange feature on the website Philipstoapprande."
customer said it just doesnt seem like phillips is helping customers they said to call if you have questions i called today got hung up on four times and they still couldnt answer my question my question was in the old machine that was recalled we never used water because we were told by the medical facility we did not have to i wanted to know if we have to use water in the new machine i received today phillips is the manufacturer you would think they would know but they dont so what good is it,4078326,Phillips doesn't answer customer's questions about the use of water in the new machine they have received today. The old machine that was recalled in the old machine was never used. The new machine doesn't seem to be able to help customers with such questions. Phillips is the manufacturer.
