Message,Product,Brand,Customer_Query,Problem,Brand_Actions,Brand_Reply,CaseNumber
customer asked my touch screen stopped working on my machine is there a way to hard reset it i dont have time to send it in for repair and wait for a new one to come i am going to a different state for business travel on tuesday. executive replied hi there kelsey sorry to hear this and we like to see how we can help could you therefore please provide us with the country that youre currently based in hope to hear from you. customer asked healthcare hi philips thanks for the reply i am based out of the usa i have the dreamstation,touch screen,philips,my touch screen stopped working on my machine is there a way to hard reset it,my touch screen stopped working on my machine is there a way to hard reset it,is there a way to hard reset it,hi there kelsey sorry to hear this and we like to see how we can help,3992407
customer asked i got documents in the mail days ago telling me to register the two devices ive already registered online to see if they are part of the recall but the document says all dreamstation serial numbers also i have devices because the rx changed i dont need two devices what do i do with the one thats been unprescribed. executive replied hi could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer asked responding to your request to my post received documentation in the mail though ive already registered both the bipap and the cpap my location is gretna la,devices,,two devices,the document says all dreamstation serial numbers,responding to your request to my post received documentation,executive replied hi could you please confirm your location in a private message so we can look into offering more specific information,3993464
customer asked hi i have a dreamstation which is part of the recall i registered my device back in june but have now moved how do i update my contact information on my registration. executive replied hi there could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer asked sure i am in the us washington state my registration confirmation is,dreamstation,dreamstation,hi i have a dreamstation,i registered my device back in june but have now moved how do i update my contact information on my registration.,confirm your location in a private message so we can look into offering more specific information,could you please confirm your location in a private message,4000580
customer asked submerging the electric end of the heated tube is ok i always avoided getting that end in water due to the contact with the unit was concerned about water still being in there. executive replied hi there thanks for reaching out to us could you share your country of residence so we can put you in touch with our dedicated team awaiting your reply. customer asked usa. executive replied thanks for your reply we will have our dedicated team follow up on your request and get back to you shortly,the unit,,submerging the electric end of the heated tube is ok,i always avoided getting that end in water due to the contact with the unit was concerned about water still being in there.,submerging the electric end of the heated tube,submerging the electric end of the heated tube,4007111
customer asked i hope they get this sorted for you asap its disgraceful customer service the issue was discovered in april weve already been waiting long enough for an outcome i dont want another philips machine ive lost all confidence in them and would prefer to get a different executive. customer asked just found out ive been breathing in toxic fumes from my dream station this is after finding out about the recall where you discovered the issue in april i registered my machine in june havent heard a peep from philips since. executive replied hi megan could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer asked i cant seem to send you a private message im in australia. executive replied this should work,philips machine,philips,i cant seem to send you a private message,customer asked just found out ive been breathing in toxic fumes from my dream station,they get this sorted for you asap,this should work,4008743
customer asked hello i have registered my recalled cpap machine but my address is now changing pls let me know how to change my address. customer asked so that if any replacement is sent its sent at the new address. executive replied hello tuli any status updates upon repair or replacement will be sent to you via the method of communication you chose either by email text or received by a phone call. customer asked how will i change my address,cpap machine,,so that if any replacement is sent its sent at the new address.,i have registered my recalled cpap machine but my address is now changing,if any replacement is sent its sent at the new address.,tuli any status updates upon repair or replacement will be sent to you via the method of communication you chose either by email text or received by a phone call.,4014153
customer asked ive registered two machines that are part of the recall ive since moved to a new address and want to update that address with you how do i do that and when might i receive replacements. executive replied hi brian philips plans to initiate the repair and replacement programs in the majority of its markets by the end of september with the intention to complete them within approximately months please refer to our website for more information. customer asked wow months does that mean i might have to be without my cpap for up to months or use it with the multiple risks associated with your machines that is unacceptable. customer asked can you please tell me how to update my address with you in case im one of the fortunate users that gets fixed sooner than later,cpap,philips,how do i do that and when might i receive replacements.,ive registered two machines that are part of the recall,brian philips plans to initiate the repair and replacement programs,brian philips plans to initiate the repair and replacement programs in the majority of its markets by the end of september,4027034
customer asked philips sleep wellness what is a dme what about people who have a machine that is over years old will you still replace it or should we give up and start over with another company my husband and i registered back in june and we have no guidance. executive replied hello jill we understand your concerns completely you have completed the vital step of registering your affected device any status updates upon repair or replacement will be sent to you via the method of communication you chose either by email text or received by a phone call philips is treating this matter with the highest possible seriousness you will be contacted as soon as a status update is available. customer asked will you replace a cpap even if over years old will we have to have an order from a doctor,cpap,,cpap,we understand your concerns completely,philips is treating this matter with the highest possible seriousness,hello jill we understand your concerns completely you have completed the vital step of registering your affected device,4028099
customer asked is anyone available to chat. executive replied sure jon how may we be of assistance. customer asked i cant find the model number on my dreamstation cpap. customer asked and its on the recall. executive replied hi jon please verify that you are filling out the correct serial number of your product and not any attached humidifier the water reservoirtank when registering you can check how to find your serial number via this page if you are still experiencing issues after that please reach out to our dedicated support team via for personal help. customer asked so the serial number is the model number. . customer asked l,dreamstation cpap.,,i cant find the model number on my dreamstation cpap.,i cant find the model number on my dreamstation cpap.,.,please verify that you are filling out the correct serial number of your product and not any attached humidifier the water reservoirtank,4046662
customer asked i need one of theseive really been having trouble breathing more and morei have asthma and copdso ive heard medicare doesnt pay not sure about highmark i dont use the big bulky oneswill u send something to my dr for a script. executive replied hello melody we understand your concerns completely philips is treating this matter with the highest possible seriousness and are dedicating significant time and resources to address this issue to assist you we would need further information to help in this regard what we need your location contact information email address and serial so we can follow up we will make sure we assist in the best way possible. customer asked i live in reading pawhat serial,highmark,,i need one of theseive,theseive really been having trouble breathing more and morei,philips is treating this matter with the highest possible seriousness,philips is treating this matter with the highest possible seriousness and are dedicating significant time and resources to address this issue,4047677
customer asked hi i received my replacement dream maker unit im having trouble getting the new unto to link to my app via bluetooth how do i remove the connection from my old unit and get the new unit to recognize it im logging in with my is and original password and its not looking do i need a new account thanks. executive replied hi michael thank you for reaching out to us could you please share your country of residence wed like to look further into this for you. customer asked usa new york.,dream maker unit,,usa new york.,im having trouble getting the new unto to link to my app via bluetooth,how do i remove the connection from my old unit and get the new unit to recognize it,executive replied hi michael thank you for reaching out to us,4055429
customer asked my return label has expired pleases end a new one connie r old tracking thank you ph. executive replied hi there connie thanks for reaching out to us could you kindly confirm your country of residence and tell us more about your return request we can then look into this for you thanks in advance we will await your reply. customer asked idaho usa returning my cpap that was recalled my label expired i waited too long to use it respironics,cpap,respironics,my return label has expired,my label expired i waited too long to use it,respironics,executive replied hi there,4075226
customer asked these weigh down the lower jaw making baby have to suck harder to keep in mouth we are seeing a lot of upper teeth protrusion caused by these little guys your friendly pediatric dental professional. executive replied hi lindsay we apologized for the delayed response were also sorry that this has caused upper teeth protrusion could you please elaborate on the issue you are experiencing please feel free to send us a private message and we will do our best to help you further hope to speak to you soon,these,,these weigh down the lower jaw,we are seeing a lot of upper teeth protrusion caused by these little guys,weigh down the lower jaw making baby have to suck harder to keep in mouth,executive replied hi lindsay we apologized for the delayed response,4075377
customer asked what determines if we get a new machine or a refurbished one. executive replied hi dean could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer asked i was told to pm my name is dean niederkohr i have already registered my dreamstation cpap months ago my question yesterday was what determines if i get a new cpap or a refurbished cpap or do i just get the parts to fix my own cpap i dont smoke and would find it unacceptable to get something a smoker had used,dreamstation cpap,,what determines if we get a new machine or a refurbished one.,i dont smoke and would find it unacceptable to get something a smoker had used,get the parts to fix my own cpap,executive replied hi dean could you please confirm your location in a private message,4076153
customer asked i own a dreamstation auto cpap machine and would like to know what battery options are available to me so that i can use the machine without access to mains power. executive replied hi thanks for your message one of our colleagues will be right with you but if you think your product is faulty you can also try our new diy repairexchange feature on our website philipstoapprande in any case thanks for your patience in the meantime. executive replied hi its been hours since your last message we havent forgotten about you but to help you further it would be great if you could send us another message well then make sure to back to you here as soon as we can hope to hear from you again soon,dreamstation,dreamstation,would like to know what battery options are available to me so that i can use the machine without access to mains power.,would like to know what battery options are available to me so that i can use the machine without access to mains power.,its been hours since your last message we havent forgotten about you,executive replied hi,4077069
customer asked i registered in july and received emails one in aug and one last week do i have to return my current unit to my accessories supplier or mail it back to philips if i have to send it back will i pay for return postage more than if the cpap cleaners use ozone if ozone is bad why make cleaners that use it including the highly rated so clean machine. executive replied hello gloria could you please confirm your location in a private message so we can provide the best information. customer asked im in etna me,cpap cleaners,,i registered in july and received emails one in aug and one last week,i registered in july and received emails one in aug and one last week,do i have to return my current unit to my accessories supplier or mail it back to philips,hello gloria could you please confirm your location in a private message so we can provide the best information.,4079923
customer asked is machine safe if the display screen turns purple. executive replied hi there tina thanks for the question could you kindly tell us the model number of your device we can then provide an appropriate answer thanks in advance we will await your reply. customer asked healthcare trilogy all i see is serial. customer asked ref number. customer asked will serial number help really appreciate help. executive replied hello tina thanks for getting back to us we would love to assist you further with your request which is why we would like to suggest you reach out to us via facebook or twitter we can definitely assist you further there many thanks in advance we hope to hear from you soon. customer asked healthcare could u please answer questions just need to know if safe,healthcare trilogy,,is machine safe if the display screen turns purple.,trilogy all i see is serial.,customer asked will serial number help really appreciate help.,executive replied,4080329
customer asked i just received my bipap replacement machine it does not load my correct settings i hooked up my soon to return bipap minus modeldata card to use for tonight while the new one has the modemdata in hopes of downloading settings any recommendations. executive replied hi ryan thanks for reaching out to us could you perhaps let us know where you are located we would like to put you in touch with a local department on this hope to hear from you. customer asked baltimore md. executive replied thanks for letting us know ryan well put you in touch with our us department right away theyll leave you a message at the earliest. customer asked i already contacted my pulmonologist to load it up,bipap replacement machine,,i just received my bipap replacement machine it does not load my correct settings,it does not load my correct settings,i already contacted my pulmonologist to load it up,put you in touch with our us department,4084628
customer asked hi i received my replacement machine and it is compact and very quiet but it didnt come with a heated tube like my old one how can i get the heated tube my oxygen supplier tried to get me one but it never arrived. executive replied thank you for sharing your concern with us here diane we would like to see what we can do for you therefore we will forward your case to our product team they will reach out to you here as soon as possible for now have a good day. customer asked philips sleep wellness my name on the replacement is diane rae thank you so much for your responsiveness,philips sleep wellness,philips,it didnt come with a heated tube like my old one how can i get the heated tube,it didnt come with a heated tube like my old one how can i get the heated tube,we will forward your case to our product team,we will forward your case to our product team,4086147
customer asked i have been using my dreamstation since it was sent as a replacement for the original dreamstation it sounds like darth vader with a wheeze any idea why the humidifier has stopped working it no longer gives me any humidifier settings leaves me with a very dry mouth. executive replied thank you for reaching out to us eddie we are sorry to hear about the inconvenience with your dreamstation wed like to see what we can do to fix this for you do you happen to have your original invoice relating to the purchase still could you also confirm that you are an american residence thank you in advance. customer asked this was a replacement unit for a recall i dont think i have the original paperwork i can provide you with the serial number yes i am an american resident,dreamstation,,any idea why the humidifier has stopped working,it sounds like darth vader with a wheeze any idea why the humidifier has stopped working,any idea why the humidifier has stopped working,we are sorry to hear about the inconvenience with your dreamstation wed like to see what we can do to fix this for you,4089203
customer asked total bs va issued mine its been reported and ive heard nothing its time for a class action law suite i have never received any updates since i filed just another company taking advantage of disabled veterans guess they are trying to kill off more disabled veterans. executive replied hello dan we appreciate you reaching out and sharing your concerns we take this matter very seriously please share your location with us in a private message. customer asked philips sleep wellness contact the va hospital in indianapolis indiana im just one of many disabled veterans waiting on your company to treat us fairly,philips sleep wellness,philips,total bs va issued,just another company taking advantage of disabled veterans,philips sleep wellness contact the va hospital in indianapolis indiana,executive replied hello dan we appreciate you reaching out and sharing your concerns we take this matter very seriously please share your location with us in a private message.,4090888
customer asked ive been contacting customer service about my new dream mapper needing repairs with no help it has stopped blowing and has service required contact support but no one will get back with me. executive replied hello jason we appreciate you reaching out and sharing your concerns we take this matter very seriously please share your location with us in a private message. customer asked north carolina,dream mapper,,north carolina,it has stopped blowing and has service required contact support but no one will get back with me.,we take this matter very seriously,we take this matter very seriously,4095038
customer asked have any word for us. executive replied hi angie we understand that waiting for news about when and how your device will be repaired or replaced can be frustrating while we work to provide patients with a replacement device as quickly as possible we will provide as much information as we are able throughout the process as the situation is constantly evolving we will continue to make sure that both you and your care team have the most uptodate information via email until we are able to ship your replacement device. customer asked ok i do have a question can u just refund his money and let him purchase now he needs it. customer asked also thanks for responding,angie,,can u just refund his money and let him purchase now he needs it.,customer asked ok i do have a question can u just refund his money and let him purchase now he needs it.,we work to provide patients with a replacement device as quickly as possible,executive replied,4124867
customer asked stopped working right after the warranty ended. executive replied hello gloria thank you for your feedback we are sorry to hear your innospire stopped working wed like to see if we can still assist you can you please send us a private message elaborating more on the issue occurred please also send us your model number and a proof of purchase thank you. customer asked hello im sending the picture of the purchase and model number as your request i tried charging it but im not sure what the cause is when i start the machine it turns on for and shuts off i tried while charging as the same issue accured. . . customer asked philips respiratory wellness did send a msg,innospire,philips,stopped working right after the warranty ended.,when i start the machine it turns on for and shuts off,when i start the machine it turns on for and shuts off,executive replied,4139082
customer asked i registered my recalled dreamstation cpap june but i am no longer associated with the dme who originally gave me that machine because they do not take my insurance how will philips get me a new device since i have no official dme i am thoroughly disgusted with the inequity and poor communication in your rollout of new machines since i feel sure i was one of the first to register. executive replied hi robin could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer asked i am in apex north carolina usa my recall confirmation number is,dreamstation,philips,philips get me a new device,i am thoroughly disgusted with the inequity and poor communication in your rollout of new machines,they do not take my insurance,executive replied hi robin could you please confirm your location in a private message so we can look into offering more specific information,4146357
customer asked hi. customer asked shreyashi this side. customer asked please help me for c pep machine of philips. customer asked can you call regarding this cpep machine. executive replied hi shreyashi thanks for reaching out unfortunately were not able to make phone calls from our social media platforms but if you elaborate on your request we will do our best to provide you with the right assistance awaiting your reply. executive replied we are just checking shreyashi if you still need any further help feel free to reply and we will happily assist you further. customer asked pls call me its really urgent i badly want that c pap machine,c pep machine,philips.,please help me for c pep machine of philips.,were not able to make phone calls from our social media platforms,thanks for reaching out unfortunately were not able to make phone calls from our social media platforms,we are just checking shreyashi,4148210
customer asked why is your number not connecting. . . customer asked how much for this. customer asked and why are the airfryer different prices. executive replied hello blessing the airfryer models are different and prizes depends on the model you purchase the philips steam iron retails for and the philips no burn iron retails for please click this link to buy. customer asked so u people cannot send it to abuja. executive replied hi blessing you can discuss with the retailers to discuss delivery to your location. customer asked who are the retailer in abuja. customer asked can i have their phone number and address,airfryer,philips,why is your number not connecting.,why is your number not connecting.,delivery to your location.,delivery to your location.,4158423
customer asked is there a way to check the status on my recalled philips apap machine. executive replied hi tammy thank you for reaching out have you registered your product via our portal this registration is what formally starts the repairreplacement process if you have registered your product we will consult with your dme to determine who will manage the replacement process if your dme authorized us to perform the replacement we will be in contact regarding the status and expected timeframe this process is necessary to move forward and may take some time. customer asked yes weve registered it but done see a place to check the status. customer asked whats a dme,philips apap machine.,philips,is there a way to check the status on my recalled philips apap machine.,customer asked yes weve registered it but done see a place to check the status.,formally starts the repairreplacement process,have you registered your product via our portal,4164558
customer asked how much please. executive replied hello tochukwu the philips blender goes for kindly click this link to buy. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer asked how much. executive replied hello tochukwu thanks for contacting us the philips food processor retails for please click this link to buy,philips blender,philips,how much please.,the philips food processor,the philips food processor,executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey,4165589
customer asked i find your dream maker impossible to use and operator it is a crime that get customer support so i can operate my app and fowwlow my progress im not going away. executive replied hello terry thank you for your comment were sorry that your device seem to trouble you so much well gladly look into details of this issue would you kindly share product details of your machine awaiting your reply. executive replied hi terry could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer asked terry register wrote on your timeline in dothan alabama,dream maker,,i find your dream maker impossible to use and operator it is a crime that get customer support,i find your dream maker impossible to use and operator it is a crime that get customer support,customer support,executive replied hi terry could you please confirm your location in a private message so we can look into offering more specific information,4165665
customer asked how much. customer asked please how can i get it and how much. executive replied hello favour zion thanks for contacting us kindly note the perfectcare steamiron price may vary depending on the distributor kindly click this link to buy or visit any spar mega plaza grand square next cash carry alwed roban stores matilda rozi colors or market square supermarket around you to buy your philips appliances thank you,philips appliances,philips,how much.,customer asked please how can i get it and how much.,the perfectcare steamiron price may vary depending on the distributor,executive replied hello favour zion thanks for contacting us,4166870
customer asked do you have them in shopping malls yahoo too much ooo. customer asked why is the element hotter. executive replied hi omomojos thank you for reaching out to us we do not have physical stores in nigeria as we are a distributor driven business you can buy our products via this link or kindly let us know what else you require and we would provide you with assistance do let us know if you have more questions thank you for choosing philips,hotter.,philips,why is the element hotter.,customer asked why is the element hotter.,we do not have physical stores in nigeria,executive replied hi,4167275
customer asked cena. executive replied philips home living rs potovani gorane kada kliknete na saznaj vie odmah ispod objave otvorie vam se naa stranica kada spustite malo stranicu videete sa leve strane pravougaonike sa ponuenim prodajnim objektima gde moete kupiti ureajvrlo lako moete uvek proveriti cene i biti u toku za ureaje za koje ste zainteresovani cene se razlikuju kod prodajnih mesta u zavisnosti od akcije koju daje prodavac na dan kupovinetrenutna cena ureaja sa iznosi i to u tehnomaniji lep pozdrav,cena.,philips,cena.,cene se razlikuju kod prodajnih mesta u zavisnosti od akcije koju daje prodavac na dan kupovinetrenutna,cene se razlikuju kod prodajnih mesta u zavisnosti od akcije koju daje prodavac na dan kupovinetrenutna,philips home living rs,4169640
customer asked i need oooh my location is portharcourt. executive replied hi there we do not have physical stores in nigeria as we are a distributor driven business you can buy our products via this link or kindly let us know what else you require and we would provide you with assistance do let us know if you have more questions thank you for choosing philips. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer asked am in portharcourt,philips.,philips.,i need oooh my location is portharcourt.,we do not have physical stores in nigeria,distributor driven business,executive replied thanks for our conversation we hope weve been able to help you here on social media,4170998
customer asked how much is the cost. customer asked i need it. customer asked how much. customer asked keria erukoghene send me account number. executive replied hello ikedi please note that the philips easyspeed steam iron retails for you can click here to buy. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer asked i dont open links,how much.,philips,how much is the cost.,i dont open links,i dont open links,fill out this quick survey,4177988
customer asked can you confirm my contact info. executive replied hello and thanks for reaching out jason if you have registered your product via the portal on our website we will consult with your dme to see who will manage your replacement if they authorize us we will reach out and update you on the status and the timeframe this is a necessary step and might take some time. customer asked please confirm my contact information jason marra maynes ave albany ny registration code. customer asked if i buy a machine out of pocket can i submit to you for reimbursement. customer asked is anyone available to chat,machine,,can you confirm my contact info.,if i buy a machine out of pocket can i submit to you for reimbursement.,this is a necessary step and might take some time.,hello and thanks for reaching out,4182644
customer asked i means there deal is not real since the price is unknown. executive replied hello alh ndamadu muhammad ha thanks for contacting us kindly note the blender price may vary depending on the distributor kindly click this link to buy or visit any spar mega plaza grand square next cash carry alwed roban stores matilda rozi colors or market square supermarket around you to buy your philips appliances thank you,blender,philips,i means there deal is not real since the price is unknown.,i means there deal is not real since the price is unknown.,the blender price may vary depending on the distributor,hello,4182753
customer asked how much i need one. customer asked pls am in owerri i need one. executive replied hello favour madugba thanks for contacting us kindly note the blender price may vary depending on the distributor kindly click this link to buy or visit any spar mega plaza grand square next cash carry alwed roban stores matilda rozi colors or market square supermarket around you to buy your philips appliances thank you,blender,philips,how much i need one.,customer asked pls am in owerri i need one.,the blender price may vary depending on the distributor,hello favour madugba thanks for contacting us,4184095
customer asked wow how much is the last price and your location pls. executive replied hello abigail thank you for contacting us we do not have physical stores in nigeria as we are a distributor driven business you can buy our products via this link or kindly let us know what else you require and we would provide you with assistance do let us know if you have more questions thank you for choosing philips. executive replied hello abigail jayjay thanks for contacting us kindly note the blender price may vary depending on the distributor kindly click this link to buy or visit any spar mega plaza grand square next cash carry alwed roban stores matilda rozi colors or market square supermarket around you to buy your philips appliances thank you,blender,philips,wow how much is the last price and your location pls.,we do not have physical stores in nigeria,the blender price may vary depending on the distributor,executive replied hello,4189577
