Message,CaseNumber,Summary
customer said hey i did get my phone but i didnt get my full refund for the phone i never received i was told my activation free would be waved but i was still charged. agent said katashag thank you for bringing this to our attention we are sending you a private note. agent said katashag we are meeting in private to request access to your account to review your concern please reply with your full name and authenticate at the link,1576645,customer got a phone but didn't get the full refund. agent asks to reply with full name and authenticate.
customer said i am trying to schedule an appointment for a technician to visit my home i was supposed to get a call back on friday to make the appointment but no one called its the fios account associated with phone number the internet isnt working in half the apartment and i already trouble shooted with a tech for over an hour. customer said can you please help me without me having to wait on hold. agent said thank you for taking the time to dm us we understand your concern and our goal is to offer assistance in order for us to get started well need to continue via our secure chat once connected we can access the account provide further support heres the link to continue mdi,1618389,customer needs help with fios. customer wants to schedule an appointment with a tech but the internet isn't working. agent will offer assistance.
customer said set top box down no support available not by phone my verizon app or fb messenger. customer said tv diwn set top box wont come on no lights or error code cant get support by phone my verizon app my fios app or fb messenger cant make a call back appointment only internet in working please help. customer said tv down set top box wont come on no lights or error code cant get support by phone my verizon app my fios app or fb messenger cant make a call back appointment only internet in working please help. agent said hi charles login to your account and link your social media account so we can authenticate here vct,1635996,customer needs help with tv down set top box. customer set top box down. agent asks to login to account and link social media account so we can authenticate here
customer said hey i havent had a chance to call and i dont have anytime today i do not want the service anymore so no one needs to come to my home no one will be here anyway. agent said leesh thanks for reaching out just to clarify would you like to reschedule the service call or cancel your service hen. customer said cancel the service. agent said we hate to see you go unfortunately our social media team does not have the systems or tools to cancel service you will need to speak with our retention team regarding that request you may reach them by calling at monday friday est hen. customer said ok can you cancel the installation or reschedule it for a later date i wont have a chance to call this week. agent said sure thing please authenticate your account here hen,1686000,customer needs help with cancel the service. customer doesn't want the service anymore so asks to cancel the installation or reschedule it for a later date. agent replied cancel the service.
customer said its not working for the past few days same error stuff. agent said hello we know how important it is for you to be able make a payment on your account have you tried clearing the cache and cookies on your browser cassieg_vzw. agent said hello we know how important it is for you to be able make a payment on your account have you tried clearing the cache and cookies on your browser cassieg_vzw,1715836,customer needs help with its not working. customer hasn't been able to make a payment on account. agent suggests clearing the cache and cookies.
customer said hey so on my verizon ont box theres a red light under the text fail on it was wondering how to solve this because its causing my apartment to not have any internet for online classes work etc. agent said hello sean have you done a reboot on your ont aft. customer said yes i have and no luck as of now the red light is there my router has a solid yellow light. agent said please enter this secure chat for further assistance aft,1737249,customer needs help with verizon ont box. customer says a red light under the text fail. agent tells there's a red light under the text fail on the router.
customer asked what now. customer said account number. agent asked hello dyoodekz thank you for contacting us here today how can i help you deanna. customer asked please see previous message. agent said thanks for your patience i see this is regarding an extra set top box on the account id like to look into this further for you please use the link below for us to move into a secure chat where we can discuss further adk,1778074,customer calls to ask about an extra set top box on the account. agent replied thanks for your patience i see this is regarding an extra set top box on the account.
customer said ive been on hold for more than an hour and minutes a truck ripped the fiber optic cable clean off of my house this morning i need to schedule someone to come to my home but cant speak to a representative. agent said hello james i am here to help and i can definitely understand the importance of getting this fixed just to confirm is this giving your service is any issues ruben. customer said yes there is now internet connection in the house the fiber optic cable that runs from the box outside to the house was completely torn. customer said mistyped there is no internet connection. agent said james i want to help get your services restored as soon as possible please use this portal link for a secure chat dgr,1784262,customer needs help with internet connection. customer has been on hold for more than an hour and minutes because a truck ripped the fiber optic cable clean off of house. agent James wants to help get the services restored as soon as possible.
customer said the junction box is still open. agent asked thank you for verifying what is the zip code of the box elc. customer said washington dc. customer said my address is n carolina ave se. customer said so its whatever box tied to my account. agent said thank you for providing this information rachel to confirm the box is tied to your fios service is that correct mdi. customer said yes. customer said the box has been open for weeks. agent said i understand we appreciate you bringing this to our attention please click on this secure chat link and it will prompt you to log into your account then route you to the secure chat jmb,1805678,customer needs help with fios. customer Rachel tells the junction box is still open. agent asks her to log into her account then route to the secure chat.
customer said theres my answer i dont even have a tv fios it is. customer said dmm send me those discounts. agent asked have you checked to see what is available in your area ckm. customer said yes i would like to do the gigabit plan. agent said sweet please click on the link so we may verify info in our private chat jra. agent said please send a message below to let us know youre here and well reconnect you with your verizon representative this may take a few minutes we will be joining you here soon,1805891,customer needs help with tv fios. customer wants to do the gigabit plan. agent asks to verify information in the chat.
customer said the log in for support is not working my cable box is shutting itself off how do i get it replaced. agent said hey rick we can definitely get you back up and running we can troubleshoot or you can contact the nearest verizon store to pick up a new box or we can ship one out to you srp. customer asked how can i have one shipped can i call fyi the website home page just keeps reloading. agent asked you may also dm our team and we can assist further rick clr. agent said hi rick we are following up regarding your request for a replacement set top box we want to confirm whether you still need assistance if so please meet us in a secure chat using the following link srd,1809870,customer needs help with cable box. customer tells the log in for support is not working. agent will contact the nearest verizon store to pick up a new box or ship one out to
customer said fios verizon smd. agent asked hello are you having issues with your services dmm. customer said yall need to get yall shit together students have finals n this internet keeps going off from your end how. agent asked are you having this issue with all devices and have you reset your fios equipment dmm. customer said yes we did and its still not working. customer said its definitely an issue from your end. agent said when you look at the router and ont do you see any red lights dmm. customer said the router is yellow and the ont has a red fail. agent said please select this link to get to a secure chat dmm,1883700,customer needs help with fios. customer phones to report that the internet keeps going off. agent asks to select the link to get to a secure chat.
customer asked hey verizon i signed up for the free year of disney plus but now it says i need to renew account what happened. agent said thank you so much for reaching out to us today we would love to take a closer look into this issue to better assist you we would like your permission to access your account by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here mrh,1887608,customer needs help with disney plus. customer needs to renew account. agent asks to grant them permission to review services.
customer said okay im back in the us i can call you all. agent said hello we can certainly assist with any questions or concerns you have please start by authenticating the account by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here axl,1896162,customer needs help with authenticating the account. customer helps to authenticate the account. agent replied refusing to authenticate.
customer said sorry just saw this and the link timed out if you send me a new one i will be on the lookout for it. agent said we would be happy to look into your concerns with you to allow us to do so please follow the steps provided below to verify your account by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here rxh,1909453,customer will be on the lookout for the link if sends a new one. agent replied we would be happy to look into your concerns with you.
customer said hello i was wondering if there is a earlier appointment for my ont failure. customer said i have no services at home. agent said hello mg just to verify you already have a tech appointment set up aft. customer said yes for tuesday but i wanted to see if anything opened up earlier. customer said cause i have no services at home and there is no phone at home for my mom. agent said we hate to hear your services are out were you given a repair ticket number aft. agent asked are you able to enter a secure chat for further assistance aft. customer said sure. agent said please enter this secure chat for further assistance aft,1913653,customer needs help with ont failure. customer has no services at home. agent asks to enter a secure chat for further assistance.
customer said i just saw this is this link still valid. agent said the link provided yesterday will have since expired but no worries you can verify your account using the link below by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here mre,1920897,customer tells the link provided yesterday has expired. agent encourages to continue as soon as possible.
customer said hello i have been a verizon customer for years but i recently moved and now i only have one bar in my house calls often drop and break up is there anything i can do to fix this issue. agent said we can certainly troubleshoot with you as we know it is crucial to have good service to begin please follow the instructions below by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here cr,1921322,customer needs help with bar. customer phones for help because house calls often drop and break up. agent asks to grant permission to review services so they can offer the best value.
customer said hello im trying to get ahold of someone as the live chat function waiting for agent is taking too long main problem is poor internet speed needs troubleshooting possibly tower based. agent said im glad you let me know about this i would be happy to troubleshoot your poor internet speed by connecting with us you grant us permission to review your services and we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here tab,1924699,customer wants to troubleshoot the poor internet speed. agent will offer the best value refusing to authenticate will not impact current services.
customer said i would like to switch my ont connection from coaxial to ethernet can you assist thank you. customer said i would like to switch my ont connection from coaxial to ethernet can you assist thank you. agent said hello welcome back sure happy to help please authenticate your account here hen. agent said please send a message below confirming your full name and number to let us know youre here and well reconnect you with your verizon representative this may take a few minutes we will be joining you here soon. customer said rachel gellman. agent said thank you kindly please bear with me one moment while i review your account hen. agent said thank you for holding the change was successful what other questions do you have for us today hen,1934781,customer helps switch on the connection from coaxial to ethernet. agent replied thank you for holding the change was successful.
customer said hi is there an outage in south jersey tv and internet have been out since last night. agent said hello dan sorry to hear your services are currently not working you can check if your address is part of an outage by using the following link jjg. customer said im sorry but that link doesnt provide what you described. customer said can you tell me if theres an outage if i give you my address. agent said you should be able to sign into you verizon account and it should let you know if you are part of an outage if not i can help via this link just sign in and go into a secure chat jjg,1938499,customer tells there's an outage in south jersey tv and internet. agent asks to sign into verizon account to check if is part of an outage.
customer asked what is my commitment to verizon and how to i end it. agent said were here to assist please click the link provided to verify your mobile account by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here is there a specific reason why youre looking to end service jjd,1941485,customer needs help with mobile account. customer wants to end the service. agent tells there's a specific reason.
customer said hi i need travel pass turned off and to be creditors the two days it has turned on your app wont work i have cellular turned off and have not wanted to use it either time. agent said hello we would be happy to help you with your travel pass request by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here cg,1944876,customer wants to turn off the travel pass. agent asks for permission to review services.
customer said hi recently my family bill got higher for our unlimited services it went from per line to can you please tell me why this is. agent said hello moomoo i know a change in the bill can be surprising and you have come to the right place for help getting answers to start can you please authenticate your account for me and join our secure chat by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here cxl,1945813,customer needs help with unlimited services. customer wants to know why the family bill got higher. agent asks to authenticate account and join the secure chat.
customer said been trying to get a teacher discount since june been getting the run around for months. agent said we appreciate your service to the community and we want to make sure you get the appropriate discounts by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here yk,1957419,customer wants to get a teacher discount. agent asks for permission to review services.
customer said how do i access this program on my pc ive been a verizon customer for years and never heard of it therefore have missed out on rewards but i manage my acct on my pc and am astonished i was never shown the details dont your marketing people want pcliterate users to participate we are not all millennials believe it or not. agent said we certainly get where youre coming from at this time our verizon up program is only available through the my verizon app please check it out from here for more mvzwcommupsocial zakc_vzw. agent said we certainly get where youre coming from at this time our verizon up program is only available through the my verizon app please check it out from here for more mvzwcommupsocial zakc_vzw,1960143,customer has been a verizon customer for years and never heard of the program. agent suggests checking it out from the my verizon app.
customer said hi we received a replacement from asurion and it is not being recognized on vzw network. agent said im glad you let me know about this getting you connected is our top priority id like to pull up your account to see if i can activate your device manually by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here tab,1979877,customer received a replacement from asurion and it is not recognized on vzw network. agent asks to pull up account to see if can activate it manually.
customer said i guess the tweet was for show since you told me to contact you but didnt even have the courtesy to acknowledge. agent said i appreciate your honest feedback jill id like to pull up your account and get to work on a solution for you by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here tab,1986969,customer needs help with i guess the tweet. customer wants to pull up account and get to work on a solution for agent replied pull up your account and get to work on a solution for you.
customer said also woke up to no internet here in dc seeing others w same problem. customer asked any explanation. agent said we will need to get you into our secured chat for further assistance please bear in mind there may be a wait to reach our agents enter here vct. customer said pls message me nee link. customer said new link. agent said enter our nologin here vct. agent said please send a message below to let us know youre here and well reconnect you with your verizon representative this may take a few minutes we will be joining you here soon,2003538,customer needs help with verizon. customer wakes up to no internet. agent asks to send a message to let them know is here.
customer said no wifi outside of philly i have several kids at home trying to log in to school and cant. agent said verry sorry for the issues please follow and dm us for further assitance vct. customer said hi i am not able to use wifi and have several kids ad home trying to log into their virtual day as well as my need to work from home please help. agent said httpstcogepxbpopvi we will need to get you into our secured chat for further assistance please bear in mind there may be a wait to reach our agents enter here vct. agent said link vct,2003860,customer needs help with wifi. customer cannot use the internet outside of Philadelphia and needs to work from home. agent will get into the chat for further assistance.
customer said hi i am not a current customer but this is in the front yard of my townhome and is cracked at the bottom exposing cable how do i get it fixed i am in tampa florida. agent said thank you so much for letting us know about this we need to get this taken care of we will need to gather some info from you regarding this are you able to join us in a secure chat by clicking this link httpstcoqtzxbcsblb caw. agent said please send a message below to let us know youre here and well reconnect you with your verizon representative this may take a few minutes we will be joining you here soon. customer said link did not work. agent asked are you able to try to clear your cookiescache caw,2017380,customer needs help with not a current customer. customer wants to fix the cracked cable in the front yard. agent asks to join them in a chat.
customer said hello i would like to unsubscribe from all postal mailings from verizon the address on the received mail is brandon carter st unit cambridge ma thank you very much for your help. agent said hello brandon im happy to look into this with you do you currently utilize fios our copper connections i want to make sure that if you were it would not affect any other communication being delivered about your account let me know jb. customer said hello thanks for the reply yes i am currently a verizon fios customer i am just referring to promotional mailings that i would like to unsubscribe from thank you. agent said brandon please use this portal link to have a secure chat and we can address the mailings dgr,2032689,customer needs help with fios. customer wants to unsubscribe from all postal mailings from verizon the address on the received mail is agent replied please use this portal link to have a secure chat and we can address the mailings.
customer asked new question need to setup my vm i enter my prompt wants password where or how do i get my password. agent said thank you for reaching out to us today have you tried the last four of your phone number gaa. customer said yes it says not valid. agent said okay lets get your account authenticated by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here gaa,2053511,customer says need to setup my vm. agent tells to get the account authenticated by connecting with them so they can offer the best value.
customer said yo what is the update on this internet outage i cant stay connected to the internet for more than seconds on my pc and its messing up my remote work this is now day of this mess. agent said this is not what we ever want for anyone wed like to take a look into this for you please follow and dm us vct. customer said hello what is the status of the internet outage on the east coast i live in the capitol heights area of maryland and the landlord has stated she already informed the troubleshoot section of the website. agent said we will need to get you into our secured chat for further assistance please bear in mind there may be a wait to reach our agents enter here vct,2057273,customer can't stay connected to the internet for more than seconds. agent asks to get into the secured chat for further assistance.
customer said i need someone to call me. customer said i dont need another direct message. agent asked hey jason we are not connected to phone support here how can we assist wxw. customer said my installation was supposed to be yesterday it was cancelled without my consent on saturday apparently the next installation isnt until the i need it sooner i have a job and a family to support. agent asked we do apologize for any inconvenience can you sign in here we can check the account see if any changes can be made wxw,2076324,customer needs help with my installation. customer phones to complain about the cancellation of installation. agent apologizes and will check the account.
customer asked hello im in the chatsworth california area i havent had any reception or bars for a while now any news on that. agent said we understand the importance of having working services and would be happy to troubleshoot your service concerns by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here icd,2077292,customer says hello. agent tells they understand the importance of having working services and will offer the best value refusing to authenticate.
customer said is there an outage in. agent said were not aware of any outages in that area to help restore your service id like to open a troubleshooting ticket for your line of service by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here tab,2077551,customer needs help with in. customer asks to open a troubleshooting ticket to help restore service. agent replied were not aware of any outages in that area to help restore your service.
customer asked still no service in la any updates. agent said hi casey we apologize for any inconvenience please verify your account so i can better assist you amh. agent said my apology i forgot to send you the authentication link by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here amh,2077838,customer needs help with amh. customer apologizes to for not sending the authentication link. agent replied refusing to authenticate will not impact your current services.
customer asked service is down in fillmore whats going on. agent said hi there thank you so much for contacting us tonight please verify your account so i can better assist you by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here amh,2077840,customer needs help with amh. customer says service is down in fillmore whats going on. agent asks to verify account so they can offer the best value refusing to authenticate.
customer asked ayo why am i only getting when i usually have full lte at home your service been so trash lately. customer said yeah mine is going in and out. agent said im sorry to hear about your service issues id like to open a troubleshooting ticket for your line of service by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here tab,2077852,customer asks to open a troubleshooting ticket for line of service. agent replied open a troubleshooting ticket.
customer said outage in camarillo. agent said while we dont have a reported outage as of yet we do know something is going on in the area lets get your account pulled up to see if your account is reported as effected by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here cxc,2078099,customer says outage in camarillo. agent asks to get account pulled up to see if account is reported as effected by the outage.
customer said hey my internet is still having problems after the issues around boston. customer said you tweeted that its fixed. agent said hello jacob i understand how frustrating it is not to get the services that you are paying for let me help you what color are the lights on your router dld. customer said they are white. agent said jacob since the outage have you rebooted the router dgr. customer said i have. agent said jacob so i can see the account and the equipment on a secure platform please use to portal link for assistance dgr,2094434,customer has rebooted the router and asks to use the portal for assistance. agent replied rebooted the router.
customer said hello my internet in my apartment is out there is a red fail light on the ont box i tried restarting both the ont and my personal router multiple times without success. agent said hello i understand how frustrating it is not to get the services that you are paying for let me help you can you please provide a photo of your ont dld. agent said ok we will need to get you into a secured chat login to the account and link your social media to your fios account then enter the secured chat that pops up here vct. agent said please send a message below confirming your full name and number to let us know youre here and well reconnect you with your verizon representative this may take a few minutes we will be joining you here soon,2107965,customer needs help with ont box. customer phones for help because the internet in apartment is out there. agent asks to provide a photo of the ont and asks to confirm the full name and number.
customer asked why cannot i not sign into your website the sign in will not allow to hitenter and i am trying to figure out why my tablets that are supposed to have data are not showing dataie no access. agent said i know how important it is to have access to your account and ill be happy to look int this for you please authenticate your account through this by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here lxg,2119888,customer needs help with tablets. customer cannot sign into the website and asks to authenticate account. agent replied i know how important it is to have access to your account and ill be happy to look int this for you.
customer said two bills im being changed twice for home alone on. customer said charged. agent said providing excellent customer service is my highest priority making sure the second charge is removed for this movie is important to us i am forwarding this message thread to our billing specialist for further help ccf. agent said can you enter a secure chat here bc. customer said im already there but i cant share pictures. agent said its not showing in a secure chat bc,2121957,customer wants the second charge removed for a movie. agent asks to enter a secure chat.
customer asked what the fuck. customer said dm you urgent. agent asked hello valle how can we help you today sap. customer said i sent you a dm. customer said if i signed up for the phone interruption for california people why is my phone off. agent said i dont know but lets take a look at your account and see what information i can find there okay by connecting with us you grant us permission to review your services so we can offer you the best value refusing to authenticate will not impact your current services it is your right and our duty to protect your account information for quality we may monitor and review this conversation please note the link we provide has a timed expiration so we encourage you to continue as soon as possible authenticate and continue here sap,2132984,customer needs help with dm you urgent. customer phone is off because signed up for the phone interruption. agent asks for permission to review services.
customer said hey is fios down in virginia. agent said we have gotten some reports we are currently investigating the trouble are all your fios services impacted jra. customer said yes unfortunately. agent said thank you for verifying the reports we have been getting is for internet if you could please authenticate the account and join me in a private chat at id like to investigate further jra,2151469,customer needs help with internet. customer says yes unfortunately. agent asks to verify the reports and join in a private chat to investigate further.
