Message,CaseNumber
customer said i need one of theseive really been having trouble breathing more and morei have asthma and copdso ive heard medicare doesnt pay not sure about highmark i dont use the big bulky oneswill u send something to my dr for a script. agent said hello melody we understand your concerns completely philips is treating this matter with the highest possible seriousness and are dedicating significant time and resources to address this issue to assist you we would need further information to help in this regard what we need your location contact information email address and serial so we can follow up we will make sure we assist in the best way possible. customer said i live in reading pawhat serial,4047677
customer said i have received my replacement cpap machine my husband has the same model that they sent me my ahi number is double what it was on the older model i had it for years and my number was never more than my husband is having the same problem i use it faithfully every night and my sleep apnea is well controlled i am concerned that this replacement model is not effectively treating our sleep apneawhat would cause this and is there something we can do to rectify this problem thank you patricia flynn,4049154
customer said hi i received my replacement dream maker unit im having trouble getting the new unto to link to my app via bluetooth how do i remove the connection from my old unit and get the new unit to recognize it im logging in with my is and original password and its not looking do i need a new account thanks. agent said hi michael thank you for reaching out to us could you please share your country of residence wed like to look further into this for you. customer said usa new york,4055429
customer said i bought my cpap machine from breathe well inc in st johns nl canada in february i stopped using the machine as soon as philips issued their recall i have waited patiently for several months now with mo action i am therefor requeting a refund of my purchase price i will naturally return the cpap machine i have requested a refund from breathe well but they have informed me there is nothing they can do thank you for your attention to this matter barry bridger,4061342
customer said philips are you sending out refurbished units for your cpap recall can you guarantee that units was in a smoke free environment or an environment where mold was not an issue we will not take a refurb unit without a written guarantee of this due to an immunocompromised child with sensitivities. customer said philips are you sending out refurbished units for your cpap recall can you guarantee that units was in a smoke free environment or an environment where mold was not an issue we will not take a refurb unit without a written guarantee of this due to an immunocompromised child with sensitivities,4062905
customer said philips sleep wellness you didnt answer the question as usual about being notified when it is coming i live in a apt which i spend very little time at if my new cpap is just left outside my door with zero notification i can say i know it will be stolen ive had packages stolen before i called to give a alternate address but all the lady said was i will make note of it if she did who knows i havent received anything including my replacement which i desperately need because of the symptoms ive had for the past two years since starting my treatment god only knows the damage this cpap has done this entire recall ordeal is beyond frustrating. customer said janice roth i agree,4069963
customer said my husband got his about a month ago but he cant get the filters that are supposed to be replaced weekly. customer said joleen hart my husbands supply company does not have the disposable filters available and neither does phillips he got his new machine over a months ago and cant change the disposable filter that should be changed weekly he bought some filters on ebay at an exorbitant price and they still havent come. customer said fred mclaine my husband had been doing that too but those old filters wont last forever,4072587
customer said this is ridiculous ive been registered for several months now in this process the only communication ive gotten is a acknowledgment that my machine is registered nothing else ive looked on the updates page site and nothing for months now i even called a few times and was told nothing customers deserve real time updates on whats happening here not stock responses the original recall said customers were supposed to get letters i never received if it was not for seeing a random post on fb i as well as most im sure would never have known about this issue,4073865
customer said i was surprised to see this post a couple of days after i contacted philips to advise them that my machine provider had provided a trilogy bacterial filter to be used with my dream machine totally contrary to philips own notification that it should not be when i contacted the provider about their actiod it being contrary to philips the providers response was that the philips tech gave them the filters for the trilogy machines and extras to pass out for the philips ones and they have to do what the tech said i did all this because i didnt want other philips users using the trilogy filters on the philips machines and having the same false sense of safety that i had assumed,4074153
customer said my return label has expired pleases end a new one connie r old tracking thank you ph. agent said hi there connie thanks for reaching out to us could you kindly confirm your country of residence and tell us more about your return request we can then look into this for you thanks in advance we will await your reply. customer said idaho usa returning my cpap that was recalled my label expired i waited too long to use it respironics,4075226
customer said these weigh down the lower jaw making baby have to suck harder to keep in mouth we are seeing a lot of upper teeth protrusion caused by these little guys your friendly pediatric dental professional. agent said hi lindsay we apologized for the delayed response were also sorry that this has caused upper teeth protrusion could you please elaborate on the issue you are experiencing please feel free to send us a private message and we will do our best to help you further hope to speak to you soon,4075377
customer asked what determines if we get a new machine or a refurbished one. agent said hi dean could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said i was told to pm my name is dean niederkohr i have already registered my dreamstation cpap months ago my question yesterday was what determines if i get a new cpap or a refurbished cpap or do i just get the parts to fix my own cpap i dont smoke and would find it unacceptable to get something a smoker had used,4076153
customer said i own a dreamstation auto cpap machine and would like to know what battery options are available to me so that i can use the machine without access to mains power. agent said hi thanks for your message one of our colleagues will be right with you but if you think your product is faulty you can also try our new diy repairexchange feature on our website philipstoapprande in any case thanks for your patience in the meantime. agent said hi its been hours since your last message we havent forgotten about you but to help you further it would be great if you could send us another message well then make sure to back to you here as soon as we can hope to hear from you again soon,4077069
customer said it just doesnt seem like phillips is helping customers they said to call if you have questions i called today got hung up on four times and they still couldnt answer my question my question was in the old machine that was recalled we never used water because we were told by the medical facility we did not have to i wanted to know if we have to use water in the new machine i received today phillips is the manufacturer you would think they would know but they dont so what good is it,4078326
customer said i registered in july and received emails one in aug and one last week do i have to return my current unit to my accessories supplier or mail it back to philips if i have to send it back will i pay for return postage more than if the cpap cleaners use ozone if ozone is bad why make cleaners that use it including the highly rated so clean machine. agent said hello gloria could you please confirm your location in a private message so we can provide the best information. customer said im in etna me,4079923
customer said is machine safe if the display screen turns purple. agent said hi there tina thanks for the question could you kindly tell us the model number of your device we can then provide an appropriate answer thanks in advance we will await your reply. customer said healthcare trilogy all i see is serial. customer said ref number. customer said will serial number help really appreciate help. agent said hello tina thanks for getting back to us we would love to assist you further with your request which is why we would like to suggest you reach out to us via facebook or twitter we can definitely assist you further there many thanks in advance we hope to hear from you soon. customer said healthcare could u please answer questions just need to know if safe,4080329
customer said i registered my machine as soon as the news came out about your defective machines i have called several times and explained to your phone people that my month old machine that medicare is still paying for has not worked right since i received it the company i bought it from will not replace it due to the recall and i do not have another it seems like replacing one that doesnt work should take priority over those that still have one that works i have no where to turn and all i get from youall is the same canned speech you repeat to everyone i need help,4080598
customer said i just received my bipap replacement machine it does not load my correct settings i hooked up my soon to return bipap minus modeldata card to use for tonight while the new one has the modemdata in hopes of downloading settings any recommendations. agent said hi ryan thanks for reaching out to us could you perhaps let us know where you are located we would like to put you in touch with a local department on this hope to hear from you. customer said baltimore md. agent said thanks for letting us know ryan well put you in touch with our us department right away theyll leave you a message at the earliest. customer said i already contacted my pulmonologist to load it up,4084628
customer said hi i received my replacement machine and it is compact and very quiet but it didnt come with a heated tube like my old one how can i get the heated tube my oxygen supplier tried to get me one but it never arrived. agent said thank you for sharing your concern with us here diane we would like to see what we can do for you therefore we will forward your case to our product team they will reach out to you here as soon as possible for now have a good day. customer said philips sleep wellness my name on the replacement is diane rae thank you so much for your responsiveness,4086147
customer said i have been using my dreamstation since it was sent as a replacement for the original dreamstation it sounds like darth vader with a wheeze any idea why the humidifier has stopped working it no longer gives me any humidifier settings leaves me with a very dry mouth. agent said thank you for reaching out to us eddie we are sorry to hear about the inconvenience with your dreamstation wed like to see what we can do to fix this for you do you happen to have your original invoice relating to the purchase still could you also confirm that you are an american residence thank you in advance. customer said this was a replacement unit for a recall i dont think i have the original paperwork i can provide you with the serial number yes i am an american resident,4089203
customer said total bs va issued mine its been reported and ive heard nothing its time for a class action law suite i have never received any updates since i filed just another company taking advantage of disabled veterans guess they are trying to kill off more disabled veterans. agent asked hello dan we appreciate you reaching out and sharing your concerns we take this matter very seriously please share your location with us in a private message. customer said philips sleep wellness contact the va hospital in indianapolis indiana im just one of many disabled veterans waiting on your company to treat us fairly,4090888
customer said ive been contacting customer service about my new dream mapper needing repairs with no help it has stopped blowing and has service required contact support but no one will get back with me. agent asked hello jason we appreciate you reaching out and sharing your concerns we take this matter very seriously please share your location with us in a private message. customer said north carolina,4095038
customer said i have just received my replacement cpap machine i travel a lot and i am completely unimpressed with the cheap crappy carry case that you sent out i will return the old cpap but not the carry case the new one is so substandard and i know it will not stand up to the test of time in the slightest how can i even begin to trust phillips with my healthcare needs when you screwed up in the first place and have gone cheap and tacky shame on you,4106875
customer asked have any word for us. agent said hi angie we understand that waiting for news about when and how your device will be repaired or replaced can be frustrating while we work to provide patients with a replacement device as quickly as possible we will provide as much information as we are able throughout the process as the situation is constantly evolving we will continue to make sure that both you and your care team have the most uptodate information via email until we are able to ship your replacement device. customer said ok i do have a question can u just refund his money and let him purchase now he needs it. customer said also thanks for responding,4124867
customer said i registered my unit on june and have not heard a peep out of philips or my dme supplier since then ive had to obtain a replacement resmed machine and have been paying for this replacement who is responsible to update my claim and does philips reimburse me for my payments also my dme supplier apria healthcare informed me that it is not their responsibility since i now own the unit and no longer pay them rental fees. customer said elsie stewart i registered mine the same and they wont even post my comment about whether they will reimburse my cost of obtaining a different brand cpap,4125076
customer said i also registered my bipap machine and was advised to purchase a filter to add to the tubing as a temporary fix each new filter lasts a month phillips should at least provide these to patients who have been using their devices waiting for information on replacement equipment. customer said philips sleep wellness same question i was required to purchase an additional new filter in the meantime,4125227
customer said stopped working right after the warranty ended. agent said hello gloria thank you for your feedback we are sorry to hear your innospire stopped working wed like to see if we can still assist you can you please send us a private message elaborating more on the issue occurred please also send us your model number and a proof of purchase thank you. customer said hello im sending the picture of the purchase and model number as your request i tried charging it but im not sure what the cause is when i start the machine it turns on for and shuts off i tried while charging as the same issue accured. customer said philips respiratory wellness did send a msg,4139082
customer said i registered my recalled dreamstation cpap june but i am no longer associated with the dme who originally gave me that machine because they do not take my insurance how will philips get me a new device since i have no official dme i am thoroughly disgusted with the inequity and poor communication in your rollout of new machines since i feel sure i was one of the first to register. agent said hi robin could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said i am in apex north carolina usa my recall confirmation number is,4146357
customer said hi. customer said shreyashi this side. customer said please help me for c pep machine of philips. customer said can you call regarding this cpep machine. agent said hi shreyashi thanks for reaching out unfortunately were not able to make phone calls from our social media platforms but if you elaborate on your request we will do our best to provide you with the right assistance awaiting your reply. agent said we are just checking shreyashi if you still need any further help feel free to reply and we will happily assist you further. customer said pls call me its really urgent i badly want that c pap machine,4148210
customer asked why is your number not connecting. customer asked how much for this. customer asked and why are the airfryer different prices. agent said hello blessing the airfryer models are different and prizes depends on the model you purchase the philips steam iron retails for and the philips no burn iron retails for please click this link to buy. customer said so u people cannot send it to abuja. agent said hi blessing you can discuss with the retailers to discuss delivery to your location. customer asked who are the retailer in abuja. customer said can i have their phone number and address,4158423
customer said my machine keeps randomly shutting off during the night i have recorded the dates and times and it is happening with increasing frequency different locations different wall plugs my dme cannot replace it for me because its registered for the recall i have called twice and supposedly my case has been escalated i am a pilot in the us army and because of that being a pilot the guidance to me was to continue to use it please help,4159416
customer said i finally got an update regarding the claim i filed months ago which basically told me nothing about the timing of my repairreplace just that the fda did their own review and repeatedly stated they had not received all the information they need from phillips months to fix and replace the units doesnt feel acceptable for those of us who cant function without these devises and cant afford to purchase a competitor product without a refund first why isnt refund an option,4164408
customer said is there a way to check the status on my recalled philips apap machine. agent said hi tammy thank you for reaching out have you registered your product via our portal this registration is what formally starts the repairreplacement process if you have registered your product we will consult with your dme to determine who will manage the replacement process if your dme authorized us to perform the replacement we will be in contact regarding the status and expected timeframe this process is necessary to move forward and may take some time. customer said yes weve registered it but done see a place to check the status. customer asked whats a dme,4164558
customer asked how much please. agent said hello tochukwu the philips blender goes for kindly click this link to buy. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer asked how much. agent said hello tochukwu thanks for contacting us the philips food processor retails for please click this link to buy,4165589
customer said i find your dream maker impossible to use and operator it is a crime that get customer support so i can operate my app and fowwlow my progress im not going away. agent said hello terry thank you for your comment were sorry that your device seem to trouble you so much well gladly look into details of this issue would you kindly share product details of your machine awaiting your reply. agent said hi terry could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said terry register wrote on your timeline in dothan alabama,4165665
customer asked how much. customer asked please how can i get it and how much. agent said hello favour zion thanks for contacting us kindly note the perfectcare steamiron price may vary depending on the distributor kindly click this link to buy or visit any spar mega plaza grand square next cash carry alwed roban stores matilda rozi colors or market square supermarket around you to buy your philips appliances thank you,4166870
customer asked do you have them in shopping malls yahoo too much ooo. customer asked why is the element hotter. agent said hi omomojos thank you for reaching out to us we do not have physical stores in nigeria as we are a distributor driven business you can buy our products via this link or kindly let us know what else you require and we would provide you with assistance do let us know if you have more questions thank you for choosing philips,4167275
customer said nights ive tried to make this work and failed my conclusion is that this is one of if not the most ridiculous contraptions made to extract money from insurance and medicare that i have ever seen the device itself was not sealed just dropped in the box rattling around with covid rampant i would think this device would be sealed if for no other reason than to give the appearance of being sanitary then the strap the instructions and the constant tossing and turning i do at night made for a total fail,4169264
customer said cena. agent said philips home living rs potovani gorane kada kliknete na saznaj vie odmah ispod objave otvorie vam se naa stranica kada spustite malo stranicu videete sa leve strane pravougaonike sa ponuenim prodajnim objektima gde moete kupiti ureajvrlo lako moete uvek proveriti cene i biti u toku za ureaje za koje ste zainteresovani cene se razlikuju kod prodajnih mesta u zavisnosti od akcije koju daje prodavac na dan kupovinetrenutna cena ureaja sa iznosi i to u tehnomaniji lep pozdrav,4169640
customer said i need oooh my location is portharcourt. agent said hi there we do not have physical stores in nigeria as we are a distributor driven business you can buy our products via this link or kindly let us know what else you require and we would provide you with assistance do let us know if you have more questions thank you for choosing philips. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer said am in portharcourt,4170998
